#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.99126     2.99126           0
           2     3.01769     3.00448  0.00934553
           3     3.06273     3.02389   0.0170337
           4     3.09995     3.04291   0.0208419
           5      3.1023     3.05479    0.019771
           6     3.15575     3.07162   0.0225257
           7     3.22874     3.09406   0.0283662
           8     3.26294     3.11517   0.0317168
           9     3.26601     3.13193   0.0323192
          10     3.23467      3.1422   0.0306767
          11     3.25342     3.15232   0.0295071
          12     3.27665     3.16268   0.0288101
          13     3.27049     3.17097   0.0277619
          14      3.2794     3.17872   0.0268376
          15     3.27682     3.18526    0.025833
          16     3.33446     3.19458   0.0258468
          17      3.3286     3.20246   0.0255003
          18     3.34772     3.21053   0.0253283
          19     3.31426     3.21599   0.0245765
          20     3.36229     3.22331    0.024412
          21     3.33427     3.22859   0.0238144
          22     3.33863     3.23359   0.0232513
          23     3.31786     3.23726   0.0225272
          24      3.2976     3.23977   0.0217284
          25     3.29502     3.24198   0.0209713
          26     3.32555      3.2452   0.0204096
          27     3.33821     3.24864   0.0199423
          28     3.33144      3.2516   0.0194481
          29      3.3031     3.25337   0.0188584
          30     3.30026     3.25494   0.0182944
          31      3.2442     3.25459   0.0177076
          32     3.24605     3.25432   0.0171562
          33     3.30259     3.25579   0.0166986
          34     3.27171     3.25625    0.016214
          35     3.29593     3.25739   0.0157903
          36     3.30313     3.25866   0.0154027
          37     3.27345     3.25906   0.0149916
          38     3.28071     3.25963   0.0146079
          39     3.31485     3.26104   0.0143018
          40     3.34177     3.26306    0.014086
          41     3.26112     3.26302   0.0137425
          42      3.2621     3.26299   0.0134153
          43     3.26522     3.26305   0.0131034
          44     3.25784     3.26293   0.0128062
          45     3.25513     3.26275   0.0125227
          46     3.27507     3.26302   0.0122534
          47      3.2569     3.26289   0.0119934
          48     3.26368     3.26291   0.0117435
          49       3.281     3.26328   0.0115096
          50     3.27896     3.26359   0.0112837
          51     3.28297     3.26397   0.0110689
          52     3.22801     3.26328   0.0108776
          53     3.20626      3.2622   0.0107254
          54     3.24512     3.26189   0.0105315
          55       3.258     3.26182   0.0103402
          56     3.27118     3.26198   0.0101569
          57     3.28466     3.26238  0.00998652
          58     3.27606     3.26262  0.00981713
          59     3.25251     3.26245  0.00965223
          60     3.28775     3.26287  0.00950057
          61      3.2926     3.26336  0.00935732
          62     3.30849     3.26408  0.00923467
          63     3.26636     3.26412  0.00908816
          64     3.27064     3.26422  0.00894673
          65     3.30224     3.26481  0.00882818
          66     3.26202     3.26476  0.00869452
          67     3.25436     3.26461  0.00856614
          68     3.28579     3.26492  0.00844583
          69     3.25037     3.26471  0.00832606
          70     3.27113      3.2648  0.00820762
          71     3.28363     3.26507  0.00809631
          72     3.27144     3.26515  0.00798434
          73     3.25432     3.26501  0.00787635
          74     3.23865     3.26465  0.00777796
          75     3.23886     3.26431  0.00768185
          76     3.28753     3.26461  0.00758685
          77     3.26279     3.26459  0.00748835
          78     3.25435     3.26446   0.0073935
          79     3.29653     3.26486  0.00731104
          80     3.32265     3.26559  0.00725525
          81     3.32323      3.2663   0.0072005
          82     3.34288     3.26723  0.00717301
          83     3.32721     3.26795   0.0071229
          84     3.25049     3.26775  0.00704113
          85     3.27943     3.26788  0.00695964
          86     3.29332     3.26818  0.00688499
          87     3.31161     3.26868  0.00682393
          88     3.32485     3.26932  0.00677617
          89     3.31001     3.26977  0.00671544
          90     3.28317     3.26992  0.00664247
          91     3.28521     3.27009   0.0065716
          92     3.27253     3.27012  0.00650022
          93     3.33736     3.27084  0.00647041
          94     3.34511     3.27163  0.00644964
          95     3.32008     3.27214  0.00640188
          96     3.29749      3.2724  0.00634064
          97      3.3053     3.27274  0.00628434
          98     3.37217     3.27376  0.00630158
          99     3.29068     3.27393  0.00624024
         100     3.32441     3.27443  0.00619822
         101     3.36397     3.27532  0.00619992
         102     3.32997     3.27586  0.00616224
         103     3.30511     3.27614  0.00610895
         104     3.30313      3.2764  0.00605572
         105     3.34173     3.27702  0.00602993
         106     3.30706      3.2773   0.0059797
         107      3.2996     3.27751  0.00592745
         108     3.30521     3.27777  0.00587811
         109     3.29877     3.27796  0.00582734
         110     3.27435     3.27793  0.00577445
         111      3.2409      3.2776  0.00573206
         112     3.22172      3.2771  0.00570255
         113     3.24507     3.27681  0.00565912
         114     3.26567     3.27672  0.00561033
         115      3.2595     3.27657  0.00556354
         116     3.23939     3.27625   0.0055248
         117     3.21198      3.2757  0.00550482
         118      3.2625     3.27558   0.0054593
         119     3.29053     3.27571  0.00541487
         120     3.32712     3.27614  0.00538667
         121     3.30667     3.27639  0.00534806
         122     3.29695     3.27656  0.00530688
         123     3.27445     3.27654  0.00526376
         124     3.24244     3.27627  0.00522849
         125     3.27653     3.27627  0.00518666
         126     3.29418     3.27641  0.00514744
         127     3.28359     3.27647  0.00510722
         128     3.28806     3.27656  0.00506813
         129     3.25622      3.2764  0.00503129
         130     3.26729     3.27633  0.00499308
         131     3.28853     3.27642  0.00495583
         132     3.24035     3.27615  0.00492581
         133     3.22149     3.27574  0.00490589
         134     3.22563     3.27537  0.00488351
         135     3.21145     3.27489  0.00487023
         136     3.25141     3.27472  0.00483748
         137     3.24216     3.27448  0.00480801
         138     3.22983     3.27416  0.00478404
         139     3.28171     3.27421  0.00474993
         140     3.26295     3.27413  0.00471669
         141     3.29058     3.27425  0.00468468
         142     3.25921     3.27414  0.00465288
         143     3.24163     3.27392   0.0046259
         144      3.2988     3.27409    0.004597
         145     3.28006     3.27413  0.00456548
         146     3.23241     3.27384  0.00454314
         147     3.25824     3.27374  0.00451348
         148     3.24531     3.27355  0.00448706
         149     3.19409     3.27301  0.00448853
         150      3.2776     3.27304  0.00445871
         151     3.26434     3.27299  0.00442955
         152      3.3311     3.27337  0.00441688
         153     3.29071     3.27348  0.00438946
         154      3.2806     3.27353   0.0043612
         155     3.26495     3.27347  0.00433342
         156     3.30877      3.2737  0.00431154
         157     3.33633      3.2741   0.0043025
         158       3.268     3.27406  0.00427544
         159     3.26026     3.27397  0.00424943
         160     3.29309     3.27409  0.00422455
         161     3.30764      3.2743  0.00420345
         162     3.29801     3.27445  0.00418005
         163     3.26913     3.27441  0.00415453
         164     3.28785      3.2745  0.00413001
         165     3.29025     3.27459  0.00410608
         166      3.2592      3.2745  0.00408239
         167     3.26172     3.27442  0.00405866
         168     3.25257     3.27429  0.00403659
         169     3.23067     3.27403  0.00402095
         170      3.2465     3.27387  0.00400055
         171     3.28686     3.27395  0.00397788
         172     3.29146     3.27405  0.00395606
         173     3.27717     3.27407  0.00393323
         174     3.30274     3.27423  0.00391408
         175      3.3066     3.27442  0.00389608
         176     3.30264     3.27458  0.00387724
         177     3.29685      3.2747  0.00385738
         178      3.2996     3.27484  0.00383824
         179     3.25957     3.27476  0.00381775
         180     3.28253      3.2748  0.00379678
         181     3.26904     3.27477  0.00377594
         182     3.25974     3.27469  0.00375609
         183     3.29028     3.27477  0.00373654
         184      3.2987      3.2749  0.00371849
         185     3.28148     3.27494  0.00369856
         186     3.28588       3.275  0.00367914
         187     3.24692     3.27485  0.00366253
         188     3.24071     3.27466  0.00364755
         189     3.27207     3.27465  0.00362827
         190     3.26641     3.27461  0.00360944
         191     3.28865     3.27468  0.00359129
         192     3.29371     3.27478  0.00357395
         193     3.28068     3.27481  0.00355556
         194     3.27389     3.27481  0.00353724
         195     3.29982     3.27493  0.00352143
         196     3.31537     3.27514   0.0035095
         197     3.33473     3.27544  0.00350469
         198      3.3149     3.27564  0.00349265
         199     3.25337     3.27553   0.0034769
         200     3.30506     3.27568  0.00346264
