#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
           1    0.176777    0.262572    0.262572           0
           1     0.53033    0.419602    0.419602           0
           1    0.883883    0.341035    0.341035           0
           1     1.23744     0.18411     0.18411           0
           1     1.59099    0.184214    0.184214           0
           1     1.94454    0.262834    0.262834           0
           1      2.2981    0.320765    0.320765           0
           1     2.65165    0.150064    0.150064           0
           1      3.0052    0.156035    0.156035           0
           1     3.35876    0.107742    0.107742           0
           1     3.71231   0.0592398   0.0592398           0
           1     4.06586    0.174105    0.174105           0
           1     4.41942   0.0793007   0.0793007           0
           1     4.77297  0.00151897  0.00151897           0
           1     5.12652   0.0736439   0.0736439           0
           1     5.48008 0.000104757 0.000104757           0
           1     5.83363   0.0262939   0.0262939           0
           1     6.18718 0.000209513 0.000209513           0
           1     6.54074 0.000209513 0.000209513           0
           1     6.89429   0.0248273   0.0248273           0
           2    0.176777     0.25812    0.260346  0.00157407
           2     0.53033    0.427773    0.423688  0.00288889
           2    0.883883    0.330036    0.335535  0.00388889
           2     1.23744    0.201709    0.192909  0.00622222
           2     1.59099    0.173739    0.178977   0.0037037
           2     1.94454    0.259168    0.261001   0.0012963
           2      2.2981     0.28609    0.303427   0.0122593
           2     2.65165    0.201133    0.175598   0.0180556
           2      3.0052    0.101142    0.128589   0.0194074
           2     3.35876    0.151007    0.129374   0.0152963
           2     3.71231   0.0617016   0.0604707  0.00087037
           2     4.06586    0.157449    0.165777  0.00588889
           2     4.41942   0.0823387   0.0808197  0.00107407
           2     4.77297  0.00900906  0.00526402  0.00264815
           2     5.12652   0.0756342    0.074639 0.000703704
           2     5.48008           0 5.23783e-05  3.7037e-05
           2     5.83363   0.0200609   0.0231774   0.0022037
           2     6.18718  0.00612826  0.00316889  0.00209259
           2     6.54074           0 0.000104757 7.40741e-05
           2     6.89429   0.0261891   0.0255082 0.000481481
           3    0.176777    0.233345    0.251346  0.00742329
           3     0.53033     0.45281    0.433395  0.00815672
           3    0.883883    0.316836    0.329302  0.00571155
           3     1.23744    0.174682    0.186833  0.00646669
           3     1.59099     0.22376    0.193904   0.0124361
           3     1.94454    0.248273    0.256758  0.00357027
           3      2.2981    0.241045    0.282633    0.018843
           3     2.65165    0.219675     0.19029    0.016994
           3      3.0052    0.102766    0.119981   0.0147238
           3     3.35876    0.174367    0.144372   0.0159356
           3     3.71231   0.0312698   0.0507371  0.00796863
           3     4.06586    0.164939    0.165498  0.00393255
           3     4.41942    0.113189   0.0916096  0.00883899
           3     4.77297  0.00219989  0.00424264  0.00195249
           3     5.12652   0.0795102   0.0762628  0.00140632
           3     5.48008  0.00125708 0.000453945 0.000328806
           3     5.83363   0.0149802    0.020445  0.00267127
           3     6.18718   0.0096376  0.00532513  0.00224628
           3     6.54074 0.000576161 0.000261891 0.000137476
           3     6.89429   0.0233083   0.0247749 0.000679349
           4    0.176777     0.22596    0.244999  0.00782338
           4     0.53033    0.301542    0.400432   0.0291953
           4    0.883883    0.417088    0.351249    0.019483
           4     1.23744    0.176724    0.184306  0.00532099
           4     1.59099    0.218836    0.200137   0.0107765
           4     1.94454    0.251416    0.255423  0.00291686
           4      2.2981    0.277395    0.281324   0.0141777
           4     2.65165    0.204171     0.19376    0.013095
           4      3.0052    0.140217     0.12504   0.0118802
           4     3.35876    0.182434    0.153887   0.0145172
           4     3.71231    0.059816   0.0530068  0.00629142
           4     4.06586    0.139955    0.159112  0.00626759
           4     4.41942    0.108842   0.0959177  0.00760702
           4     4.77297   0.0190133  0.00793531  0.00351728
           4     5.12652   0.0526402   0.0703571  0.00522207
           4     5.48008           0 0.000340459 0.000265468
           4     5.83363   0.0261891    0.021881  0.00235807
           4     6.18718           0  0.00399384  0.00204144
           4     6.54074           0 0.000196419 0.000117669
           4     6.89429   0.0261891   0.0251285 0.000594434
           5    0.176777    0.101195    0.216238    0.026475
           5     0.53033    0.330559    0.386457   0.0264904
           5    0.883883     0.34224    0.349447   0.0156695
           5     1.23744    0.262049    0.199855   0.0145439
           5     1.59099    0.290909    0.218292   0.0183844
           5     1.94454    0.172377    0.238814   0.0150378
           5      2.2981    0.386342    0.302327   0.0219447
           5     2.65165    0.234864    0.201981   0.0127989
           5      3.0052    0.104547    0.120941   0.0101867
           5     3.35876    0.183429    0.159796   0.0127595
           5     3.71231   0.0711297   0.0566314  0.00598686
           5     4.06586    0.139221    0.155134  0.00614828
           5     4.41942    0.103342   0.0974026  0.00622886
           5     4.77297    0.028389   0.0120261  0.00461573
           5     5.12652   0.0269748   0.0616807  0.00881349
           5     5.48008 0.000890431 0.000450453 0.000234055
           5     5.83363   0.0114708    0.019799  0.00265078
           5     6.18718   0.0123089  0.00565685    0.002209
           5     6.54074           0 0.000157135 0.000100479
           5     6.89429   0.0261891   0.0253406 0.000512001
           6    0.176777   0.0579304    0.189854   0.0326631
           6     0.53033    0.295675    0.371327   0.0260402
           6    0.883883    0.263044    0.335046   0.0185289
           6     1.23744    0.381104    0.230063   0.0301221
           6     1.59099    0.328569    0.236671   0.0227205
           6     1.94454    0.152473    0.224423   0.0181549
           6      2.2981    0.325217    0.306142   0.0186159
           6     2.65165    0.261944    0.211975   0.0140352
           6      3.0052    0.140321    0.124171  0.00898639
           6     3.35876    0.241988    0.173494   0.0164146
           6     3.71231   0.0809244   0.0606802  0.00620899
           6     4.06586   0.0937571    0.144905   0.0106514
           6     4.41942    0.103552   0.0984275  0.00527436
           6     4.77297   0.0282319    0.014727  0.00456886
           6     5.12652    0.021318   0.0549535  0.00957364
           6     5.48008           0 0.000375378 0.000206736
           6     5.83363   0.0220513   0.0201744   0.0022354
           6     6.18718  0.00413788  0.00540369  0.00185528
           6     6.54074           0 0.000130946 8.70786e-05
           6     6.89429   0.0261891    0.025482 0.000445771
           7    0.176777   0.0802435    0.174195   0.0315277
           7     0.53033    0.145245     0.33903   0.0373135
           7    0.883883    0.154097    0.309196   0.0287227
           7     1.23744    0.403365     0.25482   0.0345252
           7     1.59099    0.451291    0.267331    0.034424
           7     1.94454    0.194533    0.220153   0.0160557
           7      2.2981     0.30437    0.305889   0.0159582
           7     2.65165    0.252516    0.217766    0.013171
           7      3.0052    0.301489    0.149503   0.0246846
           7     3.35876    0.162687     0.17195    0.014142
           7     3.71231    0.142574   0.0723793   0.0120681
           7     4.06586   0.0872622     0.13667   0.0118943
           7     4.41942   0.0545258   0.0921558  0.00735888
           7     4.77297   0.0376076   0.0179957  0.00494916
           7     5.12652  0.00424264   0.0477091   0.0105982
           7     5.48008           0 0.000321752 0.000184026
           7     5.83363   0.0261891   0.0210336  0.00207464
           7     6.18718           0  0.00463174  0.00174346
           7     6.54074           0 0.000112239 7.66218e-05
