#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0238276  -0.0238276           0
           2  -0.0505259  -0.0371767  0.00943929
           3  -0.0960956  -0.0568164   0.0172262
           4   -0.132741  -0.0757975   0.0209077
           5   -0.134874  -0.0876129    0.019785
           6   -0.188854   -0.104486   0.0225632
           7   -0.261598   -0.126931    0.028387
           8   -0.295657   -0.148022   0.0317203
           9   -0.298851    -0.16478   0.0323211
          10   -0.267371    -0.17504    0.030674
          11   -0.286394   -0.185163   0.0295086
          12   -0.309404   -0.195516   0.0288087
          13   -0.303334    -0.20381   0.0277608
          14   -0.312088   -0.211544   0.0268336
          15   -0.309846   -0.218097   0.0258326
          16   -0.367405   -0.227429   0.0258487
          17   -0.361436   -0.235312   0.0255018
          18   -0.380654   -0.243386   0.0253311
          19   -0.347154   -0.248848   0.0245796
          20   -0.395028   -0.256157   0.0244132
          21   -0.367133   -0.261442   0.0238157
          22   -0.371373   -0.266438   0.0232515
          23   -0.350712   -0.270102   0.0225274
          24   -0.330461   -0.272617   0.0217287
          25   -0.328101   -0.274837   0.0209726
          26   -0.358462   -0.278053   0.0204111
          27   -0.371049   -0.281497   0.0199436
          28   -0.364244   -0.284453    0.019449
          29   -0.336047   -0.286232   0.0188596
          30   -0.333086   -0.287794   0.0182955
          31   -0.276991   -0.287445   0.0177086
          32   -0.278916   -0.287179   0.0171572
          33   -0.335339   -0.288638   0.0166993
          34   -0.304497   -0.289104   0.0162146
          35   -0.328888   -0.290241   0.0157912
          36   -0.335823   -0.291507   0.0154032
          37   -0.306444   -0.291911   0.0149922
          38   -0.313623   -0.292482   0.0146085
          39    -0.34772   -0.293899   0.0143024
          40    -0.37467   -0.295918   0.0140867
          41   -0.293988   -0.295871   0.0137432
          42    -0.29504   -0.295851    0.013416
          43   -0.297984   -0.295901   0.0131041
          44   -0.290819   -0.295785   0.0128068
          45   -0.287796   -0.295608   0.0125234
          46   -0.307913   -0.295875    0.012254
          47   -0.289701   -0.295744    0.011994
          48   -0.296349   -0.295756   0.0117441
          49   -0.313974   -0.296128   0.0115103
          50   -0.311948   -0.296445   0.0112845
          51   -0.315538   -0.296819   0.0110694
          52   -0.260801   -0.296126   0.0108782
          53   -0.239067    -0.29505   0.0107261
          54   -0.277968   -0.294733   0.0105321
          55    -0.29072    -0.29466   0.0103409
          56   -0.304006   -0.294827   0.0101576
          57   -0.317551   -0.295226   0.0099872
          58   -0.308729   -0.295459  0.00981772
          59   -0.285494    -0.29529  0.00965277
          60   -0.320675   -0.295713  0.00950115
          61   -0.325445     -0.2962  0.00935789
          62   -0.341111   -0.296925  0.00923495
          63   -0.299302   -0.296963  0.00908844
          64   -0.303437   -0.297064    0.008947
          65   -0.335023   -0.297648  0.00882839
          66   -0.294855   -0.297605  0.00869473
          67   -0.287232   -0.297451  0.00856633
          68   -0.318595   -0.297762    0.008446
          69   -0.283082   -0.297549  0.00832627
          70   -0.304018   -0.297641  0.00820784
          71   -0.316484   -0.297907  0.00809653
          72   -0.304111   -0.297993  0.00798453
          73   -0.287094   -0.297843  0.00787655
          74   -0.271652    -0.29749  0.00777806
          75   -0.271714   -0.297146  0.00768194
          76   -0.320326   -0.297451  0.00758692
          77   -0.295613   -0.297427  0.00748842
          78   -0.287357   -0.297298  0.00739353
          79   -0.329494   -0.297705  0.00731116
          80   -0.355626   -0.298429  0.00725553
          81   -0.356305   -0.299144  0.00720106
          82   -0.375775   -0.300078  0.00717362
          83   -0.359841   -0.300799  0.00712324
          84   -0.283288    -0.30059  0.00704149
          85   -0.312327   -0.300728     0.00696
          86   -0.326192   -0.301024  0.00688536
          87   -0.344554   -0.301525  0.00682438
          88   -0.357721   -0.302163  0.00677664
          89   -0.342792    -0.30262  0.00671586
          90   -0.315947   -0.302768  0.00664287
          91    -0.31808   -0.302936    0.006572
          92   -0.305493   -0.302964  0.00650062
          93   -0.370528    -0.30369  0.00647119
          94   -0.377998   -0.304481  0.00645045
          95   -0.353123   -0.304993  0.00640284
          96   -0.330462   -0.305258  0.00634164
          97   -0.338341   -0.305599  0.00628543
          98    -0.40496   -0.306613  0.00630253
          99   -0.323446   -0.306783  0.00624117
         100   -0.357536   -0.307291  0.00619936
         101   -0.396768   -0.308177  0.00620095
         102   -0.362762   -0.308712  0.00616321
         103   -0.337982   -0.308996  0.00610992
         104   -0.336037   -0.309256   0.0060567
         105   -0.374554   -0.309878  0.00603086
         106    -0.33987   -0.310161   0.0059806
         107   -0.332398   -0.310369  0.00592832
         108   -0.337831   -0.310623  0.00587887
         109   -0.331752   -0.310817  0.00582813
         110   -0.307126   -0.310783  0.00577525
         111   -0.273677   -0.310449  0.00573289
         112   -0.254439   -0.309949  0.00570347
         113   -0.277901   -0.309665  0.00566004
         114   -0.298485   -0.309567  0.00561124
         115   -0.292124   -0.309415   0.0055645
         116   -0.272075   -0.309094  0.00552583
         117   -0.244666   -0.308543  0.00550597
         118   -0.295495   -0.308432  0.00546042
         119   -0.323409   -0.308558  0.00541599
         120   -0.359945   -0.308986  0.00538776
         121   -0.339465   -0.309238  0.00534911
         122   -0.329572   -0.309405  0.00530786
         123   -0.307211   -0.309387  0.00526474
         124   -0.275181   -0.309111  0.00522951
         125   -0.309441   -0.309114  0.00518767
         126   -0.327106   -0.309257  0.00514846
         127   -0.316334   -0.309312  0.00510823
         128   -0.320834   -0.309402  0.00506911
         129   -0.288852   -0.309243  0.00503232
         130   -0.300352   -0.309175  0.00499407
         131   -0.321203   -0.309267  0.00495679
         132    -0.27312   -0.308993   0.0049268
         133     -0.2544   -0.308582  0.00490683
         134   -0.258369   -0.308207  0.00488449
         135   -0.244428   -0.307735  0.00487111
         136   -0.284313   -0.307563  0.00483833
         137   -0.274979   -0.307325  0.00480886
         138   -0.262701   -0.307002  0.00478487
         139   -0.314608   -0.307056  0.00475076
         140    -0.29577   -0.306976  0.00471751
         141   -0.323491   -0.307093  0.00468551
         142   -0.291879   -0.306986  0.00465374
         143    -0.27473    -0.30676  0.00462666
         144   -0.331765   -0.306934  0.00459778
         145   -0.312909   -0.306975  0.00456626
         146   -0.265352    -0.30669  0.00454388
         147   -0.291113   -0.306584   0.0045142
         148   -0.278041   -0.306391  0.00448782
         149    -0.22697   -0.305858  0.00448924
         150   -0.310521   -0.305889  0.00445942
         151   -0.297107   -0.305831  0.00443027
         152   -0.363978   -0.306214   0.0044176
         153   -0.323498   -0.306327  0.00439018
         154   -0.313451   -0.306373  0.00436191
         155   -0.297716   -0.306317  0.00433413
         156   -0.341739   -0.306544  0.00431229
         157   -0.369048   -0.306942  0.00430316
         158   -0.300598   -0.306902  0.00427611
         159   -0.293266   -0.306816  0.00425008
         160   -0.325821   -0.306935  0.00422517
         161   -0.340461   -0.307143  0.00420406
         162   -0.330593   -0.307288   0.0041806
         163   -0.302087   -0.307256  0.00415507
         164   -0.320613   -0.307338  0.00413054
         165   -0.322942   -0.307432  0.00410659
         166    -0.29207    -0.30734  0.00408289
         167   -0.294698   -0.307264  0.00405914
         168   -0.285344   -0.307133  0.00403708
         169   -0.263426   -0.306875  0.00402146
         170    -0.27947   -0.306714  0.00400104
         171   -0.319768    -0.30679  0.00397837
         172   -0.324343   -0.306892  0.00395655
         173   -0.310105   -0.306911  0.00393372
         174   -0.335569   -0.307075  0.00391456
         175   -0.339513   -0.307261  0.00389658
         176   -0.335484   -0.307421  0.00387774
         177   -0.329854   -0.307548   0.0038579
         178   -0.332357   -0.307687  0.00383874
         179   -0.292377   -0.307602  0.00381825
         180   -0.315369   -0.307645  0.00379728
         181   -0.301926   -0.307613  0.00377643
         182    -0.29259   -0.307531  0.00375658
         183   -0.323232   -0.307616  0.00373704
         184   -0.331548   -0.307746  0.00371899
         185   -0.314242   -0.307782  0.00369905
         186   -0.318864   -0.307841  0.00367964
         187   -0.279781   -0.307691  0.00366303
         188   -0.273549   -0.307509  0.00364804
         189   -0.304931   -0.307496  0.00362876
         190   -0.299339   -0.307453  0.00360992
         191   -0.321441   -0.307526  0.00359176
         192    -0.32645   -0.307625  0.00357441
         193   -0.313546   -0.307655  0.00355602
         194   -0.306833   -0.307651  0.00353769
         195   -0.332632   -0.307779  0.00352187
         196   -0.348196   -0.307985  0.00350993
         197   -0.367796   -0.308289  0.00350522
         198   -0.347571   -0.308487  0.00349313
         199   -0.286409   -0.308376  0.00347734
         200   -0.337671   -0.308523  0.00346303
