#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.99417     1.99417           0
           2      2.0118     2.00299  0.00623035
           3     2.04182     2.01593   0.0113558
           4     2.06664     2.02861   0.0138946
           5      2.0682     2.03653   0.0131807
           6     2.10383     2.04774   0.0150171
           7     2.15249     2.06271   0.0189108
           8     2.17529     2.07678   0.0211445
           9     2.17734     2.08795   0.0215461
          10     2.15644      2.0948   0.0204511
          11     2.16895     2.10154   0.0196714
          12     2.18444     2.10845   0.0192067
          13     2.18033     2.11398    0.018508
          14     2.18627     2.11914   0.0178917
          15     2.18454      2.1235    0.017222
          16     2.22297     2.12972   0.0172312
          17     2.21907     2.13498   0.0170002
          18     2.23181     2.14036   0.0168855
          19     2.20951       2.144   0.0163843
          20     2.24152     2.14887   0.0162746
          21     2.22284     2.15239   0.0158763
          22     2.22575     2.15573   0.0155009
          23     2.21191     2.15817   0.0150181
          24      2.1984     2.15985   0.0144856
          25     2.19668     2.16132   0.0139809
          26     2.21704     2.16346   0.0136064
          27     2.22547     2.16576   0.0132949
          28     2.22096     2.16773   0.0129654
          29     2.20207     2.16892   0.0125722
          30     2.20018     2.16996   0.0121963
          31      2.1628     2.16973    0.011805
          32     2.16403     2.16955   0.0114375
          33     2.20173     2.17052   0.0111324
          34     2.18114     2.17084   0.0108093
          35     2.19729     2.17159   0.0105269
          36     2.20209     2.17244   0.0102685
          37      2.1823     2.17271  0.00999442
          38     2.18714     2.17309  0.00973863
          39      2.2099     2.17403  0.00953456
          40     2.22785     2.17538  0.00939065
          41     2.17408     2.17534  0.00916166
          42     2.17474     2.17533  0.00894354
          43     2.17681     2.17536  0.00873562
          44      2.1719     2.17528  0.00853743
          45     2.17009     2.17517   0.0083485
          46     2.18338     2.17535  0.00816892
          47     2.17127     2.17526  0.00799557
          48     2.17579     2.17527    0.007829
          49     2.18733     2.17552  0.00767309
          50     2.18597     2.17573  0.00752248
          51     2.18865     2.17598  0.00737925
          52     2.15201     2.17552  0.00725172
          53     2.13751      2.1748  0.00715028
          54     2.16341     2.17459  0.00702098
          55       2.172     2.17454  0.00689348
          56     2.18079     2.17466  0.00677128
          57     2.18977     2.17492  0.00665768
          58     2.18404     2.17508  0.00654475
          59     2.16834     2.17496  0.00643482
          60     2.19183     2.17525  0.00633371
          61     2.19507     2.17557  0.00623821
          62     2.20566     2.17606  0.00615645
          63     2.17757     2.17608  0.00605877
          64     2.18042     2.17615  0.00596449
          65     2.20149     2.17654  0.00588546
          66     2.17468     2.17651  0.00579635
          67     2.16958     2.17641  0.00571076
          68     2.19053     2.17661  0.00563055
          69     2.16691     2.17647  0.00555071
          70     2.18076     2.17653  0.00547175
          71     2.18909     2.17671  0.00539754
          72     2.18096     2.17677  0.00532289
          73     2.16955     2.17667   0.0052509
          74      2.1591     2.17643   0.0051853
          75     2.15924      2.1762  0.00512123
          76     2.19169     2.17641   0.0050579
          77     2.17519     2.17639  0.00499223
          78     2.16957      2.1763    0.004929
          79     2.19768     2.17658  0.00487403
          80      2.2151     2.17706  0.00483684
          81     2.21549     2.17753  0.00480033
          82     2.22859     2.17815  0.00478201
          83     2.21814     2.17864   0.0047486
          84     2.16699      2.1785  0.00469409
          85     2.18629     2.17859  0.00463976
          86     2.19554     2.17879  0.00458999
          87     2.20774     2.17912  0.00454928
          88     2.21657     2.17954  0.00451745
          89     2.20667     2.17985  0.00447696
          90     2.18878     2.17995  0.00442832
          91     2.19014     2.18006  0.00438107
          92     2.18169     2.18008  0.00433348
          93      2.2249     2.18056  0.00431361
          94     2.23007     2.18109  0.00429976
          95     2.21339     2.18143  0.00426792
          96     2.19833      2.1816  0.00422709
          97     2.20353     2.18183  0.00418956
          98     2.24811     2.18251  0.00420105
          99     2.19379     2.18262  0.00416016
         100     2.21627     2.18296  0.00413215
         101     2.24264     2.18355  0.00413328
         102     2.21998      2.1839  0.00410816
         103     2.20341     2.18409  0.00407264
         104     2.20208     2.18427  0.00403715
         105     2.22782     2.18468  0.00401996
         106     2.20471     2.18487  0.00398647
         107     2.19973     2.18501  0.00395163
         108     2.20348     2.18518  0.00391874
         109     2.19918     2.18531  0.00388489
         110      2.1829     2.18529  0.00384964
         111      2.1606     2.18506  0.00382137
         112     2.14781     2.18473   0.0038017
         113     2.16338     2.18454  0.00377275
         114     2.17711     2.18448  0.00374022
         115       2.173     2.18438  0.00370903
         116      2.1596     2.18416   0.0036832
         117     2.14132      2.1838  0.00366988
         118       2.175     2.18372  0.00363954
         119     2.19369     2.18381  0.00360991
         120     2.21808     2.18409  0.00359111
         121     2.20445     2.18426  0.00356537
         122     2.19797     2.18437  0.00353792
         123     2.18297     2.18436  0.00350917
         124     2.16163     2.18418  0.00348566
