#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.30506     3.30506           0
           2     3.25337     3.27922    0.018275
           3      3.3149     3.29111   0.0155798
           4     3.33473     3.30202   0.0150249
           5     3.31537     3.30469   0.0122548
           6     3.29982     3.30387   0.0102391
           7     3.27389     3.29959  0.00963088
           8     3.28068     3.29723  0.00871226
           9     3.29371     3.29684    0.007753
          10     3.28865     3.29602  0.00702079
          11     3.26641     3.29333  0.00687924
          12     3.27207     3.29155  0.00652995
          13     3.24071     3.28764    0.007103
          14     3.24692     3.28473  0.00716657
          15     3.28588     3.28481   0.0066892
          16     3.28148      3.2846  0.00627437
          17      3.2987     3.28543  0.00595983
          18     3.29027      3.2857  0.00563479
          19     3.25974     3.28433  0.00550144
          20     3.26885     3.28356  0.00528056
          21     3.28213     3.28349  0.00502955
          22     3.25958     3.28241  0.00491698
          23     3.30963     3.28359  0.00484362
          24     3.30855     3.28463  0.00475216
          25      3.2981     3.28517  0.00459254
          26     3.29467     3.28553   0.0044304
          27     3.29724     3.28597  0.00428747
          28     3.26453      3.2852  0.00420214
          29     3.25188     3.28405   0.0042114
          30     3.25246       3.283  0.00420061
          31      3.2526     3.28202  0.00417799
          32     3.31841     3.28316  0.00419937
          33     3.28983     3.28336  0.00407699
          34     3.28179     3.28331  0.00395734
          35     3.29119     3.28354  0.00385066
          36     3.27442     3.28328  0.00375201
          37     3.28335     3.28329  0.00365061
          38     3.24941     3.28239   0.0036618
          39     3.27223     3.28213  0.00357716
          40       3.343     3.28366  0.00379761
          41     3.34283      3.2851  0.00396977
          42     3.28893     3.28519   0.0038763
          43      3.2414     3.28417  0.00391767
          44     3.23427     3.28304  0.00398942
          45     3.24342     3.28216  0.00399674
          46     3.22258     3.28086  0.00411432
          47     3.25929      3.2804   0.0040523
          48     3.29852     3.28078  0.00398541
          49     3.23666     3.27988  0.00400447
          50     3.25946     3.27947  0.00394514
          51     3.27603      3.2794  0.00386836
          52     3.29858     3.27977   0.0038115
          53      3.3249     3.28062  0.00383353
          54     3.26584     3.28035   0.0037723
          55     3.26586     3.28009  0.00371291
          56     3.26962      3.2799  0.00365131
          57     3.34906     3.28111  0.00378346
          58     3.30814     3.28158  0.00374681
          59     3.32681     3.28235  0.00376092
          60     3.31513     3.28289  0.00373772
          61     3.30455     3.28325  0.00369327
          62      3.2956     3.28345  0.00363906
          63     3.26565     3.28316  0.00359225
          64     3.25765     3.28277  0.00355817
          65     3.27301     3.28262   0.0035066
          66      3.2835     3.28263  0.00345349
          67     3.28571     3.28267  0.00340225
          68     3.25024      3.2822  0.00338549
          69     3.26283     3.28192  0.00334805
          70     3.28456     3.28195  0.00330043
          71     3.33938     3.28276  0.00335159
          72      3.3478     3.28367  0.00342459
          73     3.27959     3.28361  0.00337813
          74      3.2888     3.28368  0.00333321
          75     3.31524      3.2841  0.00331522
          76     3.31841     3.28455  0.00330219
          77     3.32542     3.28508  0.00330168
          78     3.38342     3.28634  0.00349177
          79     3.37141     3.28742  0.00360977
          80     3.34646     3.28816  0.00363931
          81     3.35756     3.28902  0.00369387
          82     3.35624     3.28984  0.00373869
          83     3.33431     3.29037  0.00373185
          84     3.32339     3.29076  0.00370806
          85     3.34644     3.29142  0.00372184
          86     3.29393     3.29145  0.00367868
          87     3.29327     3.29147  0.00363646
          88      3.3226     3.29182   0.0036123
          89      3.3378     3.29234  0.00360847
          90     3.32435      3.2927  0.00358586
          91     3.30329     3.29281  0.00354835
          92     3.32614     3.29317  0.00352822
          93     3.30605     3.29331    0.003493
          94     3.31755     3.29357  0.00346535
          95     3.31669     3.29381  0.00343741
          96     3.31113       3.294  0.00340633
          97     3.35647     3.29464  0.00343156
          98     3.31036      3.2948  0.00340029
          99     3.28486      3.2947  0.00336743
         100     3.25626     3.29431  0.00335562
         101     3.28249      3.2942  0.00332443
         102     3.29183     3.29417  0.00329192
         103     3.28184     3.29405  0.00326214
         104     3.34703     3.29456  0.00327031
         105     3.37832     3.29536  0.00333503
         106     3.33553     3.29574  0.00332503
         107     3.32957     3.29606  0.00330895
         108     3.31924     3.29627  0.00328527
         109     3.29809     3.29629  0.00325517
         110     3.28115     3.29615  0.00322849
         111      3.2442     3.29568  0.00323315
         112     3.24147      3.2952  0.00324031
         113     3.26825     3.29496   0.0032204
         114     3.28517     3.29487  0.00319329
         115     3.23609     3.29436  0.00320618
         116     3.26749     3.29413   0.0031869
         117     3.22415     3.29353  0.00321529
         118      3.2311       3.293  0.00323129
         119     3.28225     3.29291  0.00320539
         120     3.27444     3.29276  0.00318238
         121     3.23135     3.29225  0.00319629
         122     3.28032     3.29215  0.00317158
         123     3.27223     3.29199  0.00314993
         124     3.26769      3.2918  0.00313062
         125     3.29045     3.29179  0.00310559
         126     3.27664     3.29167  0.00308327
         127      3.2924     3.29167  0.00305899
         128     3.27781     3.29156  0.00303701
         129     3.24854     3.29123  0.00303173
         130     3.28918     3.29121  0.00300845
         131     3.26641     3.29102  0.00299144
         132     3.32796      3.2913  0.00298183
         133     3.30213     3.29139  0.00296052
         134     3.30146     3.29146  0.00293939
         135     3.30591     3.29157  0.00291956
         136     3.30872     3.29169  0.00290081
         137     3.31061     3.29183  0.00288292
         138     3.25469     3.29156  0.00287457
         139      3.2183     3.29104  0.00290181
         140     3.26276     3.29083   0.0028881
         141     3.31146     3.29098  0.00287132
         142      3.2675     3.29081  0.00285586
         143     3.24761     3.29051  0.00285182
         144     3.24497      3.2902   0.0028495
         145     3.23879     3.28984  0.00285182
         146      3.2745     3.28974  0.00283422
         147     3.25606     3.28951  0.00282418
         148      3.2663     3.28935  0.00280945
         149     3.29923     3.28942  0.00279137
         150     3.28547     3.28939  0.00277289
         151      3.2292     3.28899  0.00278303
         152     3.25347     3.28876  0.00277451
         153     3.28369     3.28873  0.00275658
         154     3.31477     3.28889  0.00274386
         155      3.2925     3.28892  0.00272626
         156     3.30157       3.289  0.00270999
         157     3.33949     3.28932  0.00271174
         158     3.37416     3.28986  0.00274723
         159     3.30995     3.28998  0.00273285
         160     3.30852      3.2901  0.00271823
         161     3.25728      3.2899  0.00270898
         162     3.25171     3.28966  0.00270249
         163     3.25514     3.28945   0.0026942
         164     3.23566     3.28912  0.00269766
         165     3.29671     3.28917   0.0026817
         166     3.30267     3.28925  0.00266678
         167     3.31211     3.28938  0.00265433
         168     3.28642     3.28937  0.00263858
         169     3.30439     3.28946  0.00262447
         170     3.27578     3.28938  0.00261026
         171     3.25585     3.28918  0.00260235
         172     3.24329     3.28891  0.00260086
         173     3.26953      3.2888  0.00258824
         174     3.33794     3.28908  0.00258872
         175     3.28601     3.28907  0.00257399
         176     3.27261     3.28897  0.00256106
         177     3.27608      3.2889  0.00254763
         178     3.29438     3.28893   0.0025335
         179     3.29414     3.28896  0.00251952
         180     3.26733     3.28884  0.00250838
         181     3.26325      3.2887   0.0024985
         182     3.26022     3.28854  0.00248967
         183     3.28506     3.28852  0.00247614
         184     3.25681     3.28835  0.00246867
         185     3.23741     3.28807  0.00247064
         186     3.22832     3.28775  0.00247816
         187     3.21948     3.28739  0.00249166
         188     3.20668     3.28696  0.00251511
         189     3.28208     3.28693  0.00250194
         190     3.34333     3.28723  0.00250632
         191     3.34108     3.28751    0.002509
         192     3.32446      3.2877   0.0025033
         193     3.29481     3.28774   0.0024906
         194     3.29634     3.28779  0.00247816
         195     3.31059      3.2879  0.00246821
         196     3.27533     3.28784  0.00245645
         197     3.27843     3.28779  0.00244445
         198     3.30387     3.28787  0.00243345
         199     3.35482     3.28821  0.00244436
         200     3.31368     3.28834  0.00243546
