#     BLOCK:   VELOCITY:   ACT_POFV:    AVE_POFV:        ERROR:
           1    0.176777  0.00115232  0.00115232           0
           1     0.53033  0.00995187  0.00995187           0
           1    0.883883   0.0697155   0.0697155           0
           1     1.23744    0.288604    0.288604           0
           1     1.59099     0.44862     0.44862           0
           1     1.94454    0.352244    0.352244           0
           1      2.2981    0.448044    0.448044           0
           1     2.65165    0.290385    0.290385           0
           1      3.0052    0.356801    0.356801           0
           1     3.35876    0.287347    0.287347           0
           1     3.71231   0.0830196   0.0830196           0
           1     4.06586    0.116594    0.116594           0
           1     4.41942   0.0439454   0.0439454           0
           1     4.77297   0.0157135   0.0157135           0
           1     5.12652   0.0162896   0.0162896           0
           1     5.48008           0           0           0
           1     5.83363           0           0           0
           1     6.18718           0           0           0
           1     6.54074           0           0           0
           1     6.89429           0           0           0
           2    0.176777           0 0.000576161 0.000407407
           2     0.53033   0.0179658   0.0139588  0.00283333
           2    0.883883   0.0827577   0.0762366  0.00461111
           2     1.23744    0.356539    0.322572   0.0240185
           2     1.59099     0.27551    0.362065   0.0612037
           2     1.94454    0.512155    0.432199    0.056537
           2      2.2981     0.41295    0.430497   0.0124074
           2     2.65165    0.340616    0.315501   0.0177593
           2      3.0052    0.240992    0.298897   0.0409444
           2     3.35876    0.286771    0.287059 0.000203704
           2     3.71231    0.142783    0.112901   0.0211296
           2     4.06586   0.0960618    0.106328  0.00725926
           2     4.41942  0.00586637   0.0249059    0.013463
           2     4.77297   0.0509641   0.0333388    0.012463
           2     5.12652  0.00649491   0.0113923  0.00346296
           2     5.48008           0           0           0
           2     5.83363           0           0           0
           2     6.18718           0           0           0
           2     6.54074           0           0           0
           2     6.89429           0           0           0
           3    0.176777           0 0.000384107 0.000313622
           3     0.53033   0.0536877   0.0272018   0.0109766
           3    0.883883    0.103028   0.0851671  0.00791322
           3     1.23744    0.350096    0.331747   0.0176781
           3     1.59099    0.339935    0.354688   0.0412446
           3     1.94454    0.425574    0.429991   0.0377345
           3      2.2981    0.404465     0.42182   0.0108911
           3     2.65165     0.33475    0.321917   0.0129468
           3      3.0052    0.231564    0.276453   0.0328772
           3     3.35876    0.197414    0.257177   0.0243988
           3     3.71231     0.15834    0.128047   0.0187447
           3     4.06586    0.101561    0.104739  0.00501036
           3     4.41942   0.0394932   0.0297683   0.0098142
           3     4.77297    0.055521   0.0407328   0.0102704
           3     5.12652   0.0246178   0.0158008  0.00427626
           3     5.48008  0.00838052  0.00279351  0.00228089
           3     5.83363           0           0           0
           3     6.18718           0           0           0
           3     6.54074           0           0           0
           3     6.89429           0           0           0
           4    0.176777           0 0.000288081 0.000249485
           4     0.53033   0.0523259   0.0334828   0.0098672
           4    0.883883    0.156349    0.102963   0.0165147
           4     1.23744    0.240416    0.308914   0.0238072
           4     1.59099    0.481409    0.386368   0.0413473
           4     1.94454    0.337369    0.406835   0.0346854
           4      2.2981    0.465276    0.432684   0.0124597
           4     2.65165     0.23874    0.301123   0.0204593
           4      3.0052    0.202704    0.258015   0.0293762
           4     3.35876    0.268753    0.260071   0.0184699
