#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.338058   -0.338058           0
           2   -0.286125   -0.312092   0.0183611
           3   -0.348151   -0.324111   0.0156892
           4   -0.367469   -0.334951   0.0150525
           5   -0.348241   -0.337609   0.0122745
           6   -0.332646   -0.336782   0.0102566
           7   -0.306592   -0.332469  0.00965562
           8   -0.313541   -0.330103  0.00873373
           9   -0.326701   -0.329725  0.00777149
          10   -0.321555   -0.328908  0.00703715
          11   -0.299107   -0.326199  0.00689923
          12   -0.304858    -0.32442   0.0065495
          13   -0.273625   -0.320513  0.00711641
          14   -0.279826   -0.317607  0.00717703
          15   -0.318663   -0.317677   0.0066989
          16   -0.314452   -0.317476  0.00628325
          17   -0.331621   -0.318308  0.00596849
          18   -0.323134   -0.318576  0.00564293
          19   -0.292636   -0.317211  0.00550861
          20   -0.301704   -0.316435  0.00528746
          21   -0.314924   -0.316363  0.00503617
          22   -0.292384   -0.315273  0.00492379
          23   -0.342651   -0.316464  0.00485146
          24   -0.341348   -0.317501  0.00475882
          25   -0.331075   -0.318043  0.00459934
          26   -0.327423   -0.318404  0.00443657
          27   -0.330178    -0.31884  0.00429363
          28   -0.297225   -0.318068  0.00420911
          29   -0.284788   -0.316921  0.00421752
          30   -0.284965   -0.315856  0.00420929
          31   -0.285777   -0.314885  0.00418385
          32   -0.351289   -0.316023  0.00420492
          33   -0.322657   -0.316224   0.0040823
          34   -0.314496   -0.316173  0.00396255
          35   -0.324209   -0.316403  0.00385598
          36    -0.30714   -0.316145  0.00375744
          37   -0.316199   -0.316147  0.00365589
          38   -0.282325   -0.315257  0.00366643
          39   -0.305336   -0.315002  0.00358123
          40   -0.376082   -0.316529  0.00380333
          41   -0.375665   -0.317972  0.00397466
          42   -0.321559   -0.318057  0.00388094
          43   -0.274255   -0.317038   0.0039221
          44   -0.267061   -0.315903  0.00399405
          45   -0.276276   -0.315022  0.00400119
          46   -0.255323   -0.313724  0.00411931
          47   -0.292269   -0.313268  0.00405688
          48   -0.331472   -0.313647  0.00399005
          49   -0.269538   -0.312747  0.00400888
          50   -0.292355   -0.312339  0.00394939
          51   -0.308815    -0.31227  0.00387256
          52   -0.331495    -0.31264  0.00381569
          53   -0.357699    -0.31349  0.00383724
          54    -0.29873   -0.313216   0.0037759
          55   -0.298752   -0.312953   0.0037164
          56   -0.302617   -0.312769  0.00365462
          57   -0.382026   -0.313984   0.0037871
          58   -0.341161   -0.314452  0.00375068
          59   -0.359779   -0.315221  0.00376496
          60   -0.347808   -0.315764  0.00374118
          61   -0.337283   -0.316117  0.00369645
          62   -0.328427   -0.316315  0.00364216
          63   -0.298387   -0.316031  0.00359545
          64   -0.290409    -0.31563  0.00356148
          65   -0.305903   -0.315481  0.00350983
          66    -0.31614   -0.315491  0.00345667
          67   -0.318329   -0.315533  0.00340534
          68   -0.282862   -0.315052  0.00338898
          69    -0.29582   -0.314774  0.00335131
          70   -0.317469   -0.314812  0.00330366
          71   -0.372448   -0.315624  0.00335538
          72   -0.380567   -0.316526  0.00342787
          73   -0.312502   -0.316471  0.00338135
          74    -0.32156    -0.31654  0.00333636
          75   -0.348139   -0.316961  0.00331837
          76   -0.351162   -0.317411  0.00330508
          77   -0.358439   -0.317944  0.00330483
          78   -0.416569   -0.319208  0.00349599
          79   -0.404374   -0.320286  0.00361413
          80   -0.379556   -0.321027   0.0036441
          81   -0.390524   -0.321885  0.00369874
          82   -0.389346   -0.322708  0.00374401
          83    -0.36725   -0.323245  0.00373716
          84   -0.356239   -0.323637  0.00371325
          85   -0.379282   -0.324292  0.00372683
          86   -0.326665    -0.32432   0.0036836
          87   -0.326328   -0.324343  0.00364133
          88    -0.35562   -0.324698  0.00361725
          89   -0.370601   -0.325214  0.00361319
          90   -0.357104   -0.325568  0.00359038
          91    -0.33599   -0.325683  0.00355275
          92    -0.35898   -0.326045  0.00353252
          93   -0.338909   -0.326183  0.00349724
          94   -0.350711   -0.326444  0.00346976
          95   -0.349855    -0.32669  0.00344198
          96   -0.344438   -0.326875  0.00341108
          97   -0.389502   -0.327521  0.00343648
          98   -0.343524   -0.327684  0.00340529
          99   -0.317753   -0.327584  0.00337237
         100   -0.289081   -0.327199  0.00336055
         101   -0.315406   -0.327082  0.00332931
         102   -0.324568   -0.327057  0.00329676
         103   -0.314804   -0.326938   0.0032669
         104   -0.380065   -0.327449  0.00327518
         105   -0.411151   -0.328246  0.00333959
         106   -0.368353   -0.328625  0.00332945
         107    -0.36247   -0.328941  0.00331332
         108   -0.351951   -0.329154  0.00328949
         109   -0.330773   -0.329169  0.00325934
         110   -0.313836    -0.32903  0.00323269
         111   -0.276845   -0.328559  0.00323757
         112   -0.274445   -0.328076  0.00324452
         113   -0.300987   -0.327837  0.00322465
         114   -0.317883   -0.327749  0.00319755
         115   -0.268848   -0.327237   0.0032105
         116   -0.300219   -0.327004  0.00319126
         117   -0.256994   -0.326406   0.0032196
         118   -0.264012   -0.325877  0.00323544
         119    -0.31509   -0.325786  0.00320952
         120   -0.307022    -0.32563  0.00318658
         121   -0.264365   -0.325124  0.00320022
         122   -0.313375   -0.325027  0.00317544
         123   -0.305001   -0.324865  0.00315379
         124   -0.300668   -0.324669  0.00313439
         125   -0.323278   -0.324658  0.00310933
         126   -0.309514   -0.324538  0.00308698
         127   -0.325386   -0.324545  0.00306268
         128   -0.310639   -0.324436  0.00304068
         129   -0.281536   -0.324104  0.00303524
         130   -0.321984   -0.324087  0.00301194
         131   -0.299302   -0.323898  0.00299488
         132   -0.361095    -0.32418  0.00298542
         133   -0.334956   -0.324261  0.00296407
         134   -0.334254   -0.324335  0.00294289
         135   -0.338808   -0.324443  0.00292304
         136   -0.341628   -0.324569  0.00290428
         137   -0.343468   -0.324707  0.00288636
         138   -0.287288   -0.324436  0.00287815
         139   -0.251063   -0.323908  0.00290544
         140   -0.295721   -0.323707  0.00289166
         141   -0.344371   -0.323853  0.00287486
         142   -0.300378   -0.323688  0.00285937
         143   -0.280506   -0.323386  0.00285527
         144   -0.277834    -0.32307  0.00285291
         145   -0.271637   -0.322715   0.0028552
         146   -0.307669   -0.322612   0.0028375
         147   -0.288797   -0.322382  0.00282751
         148   -0.299433   -0.322227  0.00281265
         149   -0.332106   -0.322293  0.00279456
         150   -0.318219   -0.322266  0.00277606
         151   -0.262107   -0.321867  0.00278612
         152   -0.286335   -0.321634  0.00277758
         153   -0.316829   -0.321602   0.0027596
         154   -0.347617   -0.321771  0.00274685
         155   -0.325402   -0.321795  0.00272923
         156   -0.334649   -0.321877  0.00271297
         157   -0.372404   -0.322199  0.00271472
         158   -0.407114   -0.322736  0.00275022
         159    -0.34259   -0.322861  0.00273575
         160   -0.341401   -0.322977  0.00272111
         161   -0.289943   -0.322772  0.00271193
         162   -0.284673   -0.322537  0.00270537
         163   -0.287677   -0.322323  0.00269721
         164   -0.268704   -0.321996  0.00270051
         165   -0.329606   -0.322042  0.00268454
         166   -0.335484   -0.322123  0.00266958
         167   -0.344929    -0.32226  0.00265709
         168   -0.319251   -0.322242  0.00264133
         169   -0.337269   -0.322331   0.0026272
         170   -0.308704    -0.32225  0.00261297
         171   -0.288786   -0.322055  0.00260501
