#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.20337     2.20337           0
           2     2.16891     2.18614   0.0121833
           3     2.20993     2.19407   0.0103866
           4     2.22316     2.20134   0.0100166
           5     2.21024     2.20312  0.00816987
           6     2.19988     2.20258  0.00682607
           7     2.18259     2.19973  0.00642059
           8     2.18712     2.19815  0.00580817
           9     2.19581     2.19789  0.00516867
          10     2.19243     2.19735  0.00468053
          11     2.17761     2.19555  0.00458616
          12     2.18138     2.19437   0.0043533
          13     2.16047     2.19176  0.00473534
          14     2.16461     2.18982  0.00477771
          15     2.19059     2.18987  0.00445947
          16     2.18765     2.18974  0.00418291
          17     2.19913     2.19029  0.00397322
          18     2.19351     2.19047  0.00375653
          19     2.17316     2.18956  0.00366763
          20     2.17923     2.18904  0.00352037
          21     2.18809     2.18899  0.00335303
          22     2.17305     2.18827  0.00327799
          23     2.20642     2.18906  0.00322908
          24      2.2057     2.18975  0.00316811
          25     2.19874     2.19011  0.00306169
          26     2.19644     2.19036   0.0029536
          27     2.19816     2.19064  0.00285831
          28     2.17635     2.19013  0.00280143
          29     2.16792     2.18937   0.0028076
          30     2.16831     2.18867   0.0028004
          31      2.1684     2.18801  0.00278532
          32     2.21228     2.18877  0.00279958
          33     2.19322     2.18891  0.00271799
          34     2.18786     2.18887  0.00263822
          35     2.19412     2.18902  0.00256711
          36     2.18295     2.18886  0.00250134
          37      2.1889     2.18886  0.00243374
          38     2.16627     2.18826   0.0024412
          39     2.18149     2.18809  0.00238478
          40     2.22867      2.1891  0.00253174
          41     2.22855     2.19007  0.00264652
          42     2.19262     2.19013   0.0025842
          43     2.16093     2.18945  0.00261178
          44     2.15618     2.18869  0.00265961
          45     2.16228      2.1881   0.0026645
          46     2.14839     2.18724  0.00274288
          47     2.17286     2.18694  0.00270153
          48     2.19901     2.18719  0.00265694
          49     2.15778     2.18659  0.00266965
          50     2.17298     2.18631   0.0026301
          51     2.18402     2.18627  0.00257891
          52     2.19905     2.18652    0.002541
          53      2.2166     2.18708  0.00255569
          54     2.17723      2.1869  0.00251487
          55     2.17724     2.18672  0.00247527
          56     2.17974      2.1866  0.00243421
          57      2.2327     2.18741  0.00252231
          58     2.20543     2.18772  0.00249788
          59     2.21787     2.18823  0.00250728
          60     2.21009     2.18859  0.00249182
          61     2.20303     2.18883  0.00246218
          62     2.19706     2.18896  0.00242604
          63      2.1771     2.18878  0.00239483
          64     2.17177     2.18851  0.00237212
          65     2.18201     2.18841  0.00233773
          66       2.189     2.18842  0.00230233
          67     2.19047     2.18845  0.00226817
          68     2.16682     2.18813    0.002257
