#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.223746    0.223746           0
           2    0.319808    0.271777   0.0339632
           3    0.206998    0.250184   0.0286968
           4     0.18607    0.234155   0.0256106
           5    0.121717    0.211668   0.0287113
           6    0.393006    0.241891   0.0365192
           7    0.310642    0.251712   0.0325961
           8    0.262846    0.253104   0.0285513
           9     0.27849    0.255925   0.0255179
          10     0.26519    0.256851   0.0229829
          11    0.192389    0.250991   0.0216278
          12    0.426405    0.265609   0.0242677
          13    0.355535    0.272526   0.0233661
          14     0.23856      0.2701   0.0218227
          15    0.371031    0.276829     0.02138
          16    0.289386    0.277614   0.0200582
          17    0.350702    0.281913   0.0193336
          18    0.298952     0.28286   0.0182826
          19    0.167974    0.276813    0.018293
          20    0.256686    0.275807    0.017406
          21    0.177647    0.271132   0.0171933
          22    0.340172    0.274271   0.0166957
          23    0.328707    0.276637   0.0161367
          24    0.132992    0.270652   0.0165371
          25    0.348775    0.273777   0.0161682
          26    0.283583    0.274154   0.0155507
          27    0.283203    0.274489   0.0149784
          28    0.173888    0.270896   0.0148681
          29    0.250694      0.2702   0.0143717
          30    0.183484    0.267309   0.0141804
          31    0.143018      0.2633   0.0142785
          32    0.297711    0.264375   0.0138727
          33    0.225768    0.263205   0.0135016
          34    0.288277    0.263943   0.0131246
          35    0.407565    0.268046   0.0133757
          36    0.257682    0.267758   0.0130073
          37    0.219666    0.266458   0.0127205
          38    0.293981    0.267183   0.0124064
          39    0.147722     0.26412   0.0124607
          40    0.234307    0.263374   0.0121714
          41     0.41143    0.266985   0.0123987
          42    0.261387    0.266852   0.0121042
          43    0.180535    0.264845    0.011988
          44    0.189036    0.263122   0.0118387
          45    0.235751    0.262514   0.0115912
          46    0.314455    0.263643   0.0113941
          47    0.246224    0.263272   0.0111577
          48    0.191674    0.261781   0.0110245
          49    0.221714    0.260963   0.0108298
          50    0.167141    0.259086   0.0107745
          51    0.219926    0.258319   0.0105906
          52    0.214247    0.257471   0.0104208
          53    0.179595    0.256002   0.0103272
          54    0.232649    0.255569    0.010145
          55    0.272012    0.255868  0.00996499
          56    0.277124    0.256248  0.00979427
          57    0.252806    0.256187  0.00962263
          58    0.401702    0.258696  0.00977832
          59    0.251153    0.258568  0.00961342
          60    0.500403    0.262599   0.0102634
          61    0.279428    0.262875   0.0100989
          62    0.133088    0.260781   0.0101506
          63    0.275864    0.261021  0.00999233
          64    0.249051    0.260834  0.00983795
          65     0.19344    0.259797  0.00974108
          66    0.249833    0.259646  0.00959465
          67     0.33318    0.260744  0.00951401
          68    0.345212    0.261986  0.00945485
          69    0.246221    0.261757  0.00932058
          70    0.270209    0.261878  0.00918821
          71    0.119125    0.259867  0.00927618
          72    0.201077    0.259051  0.00918321
          73    0.426747    0.261348  0.00934032
          74    0.302505    0.261904  0.00923065
          75    0.194551    0.261006  0.00915115
          76    0.304643     0.26158  0.00904874
          77    0.220577    0.261048  0.00894687
          78    0.158663    0.259735  0.00892794
          79    0.211022    0.259119   0.0088362
          80    0.302743    0.259664  0.00874256
          81    0.240179    0.259423  0.00863793
          82    0.276942    0.259637  0.00853523
          83    0.312961    0.260279  0.00845654
          84    0.201671    0.259582   0.0083846
          85    0.252159    0.259494  0.00828642
          86    0.262488    0.259529  0.00819014
          87    0.145568    0.258219  0.00820008
          88     0.20611    0.257627  0.00812825
          89    0.185788     0.25682   0.0080769
          90    0.275958    0.257033  0.00798995
          91    0.251081    0.256967  0.00790242
          92    0.230413    0.256679  0.00782179
          93    0.199049    0.256059   0.0077622
          94    0.350221    0.257061  0.00774399
          95    0.250545    0.256992  0.00766277
          96    0.326798    0.257719  0.00761738
          97    0.162736     0.25674  0.00760152
          98    0.359892    0.257793  0.00759648
          99    0.243294    0.257646  0.00752116
         100    0.224279    0.257312  0.00745335
