#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     91.3061     91.3061           0
           2     85.0437     88.1749      2.2141
           3      92.275     89.5416      1.8504
           4     93.6865     90.5778     1.65267
           5      96.995     91.8613     1.75094
           6       84.29     90.5994     1.85902
           7     86.7459     90.0489     1.67297
           8     89.6068     89.9936     1.46476
           9     91.3674     90.1463     1.30994
          10     89.3572     90.0673     1.18132
          11     94.2973     90.4519     1.13479
          12     80.9391     89.6592     1.28768
          13     86.8711     89.4447     1.20636
          14     91.7873      89.612     1.13173
          15     85.4986     89.3378       1.089
          16      88.775     89.3026     1.02151
          17     83.4842     88.9604     1.01714
          18     89.6754     89.0001     0.96141
          19     94.8711     89.3091    0.959182
          20     91.9528     89.4413    0.920286
          21     94.7567     89.6944    0.910607
          22     86.8643     89.5657    0.878255
          23     86.2527     89.4217    0.851801
          24     96.4512     89.7146    0.865202
          25     85.6806     89.5532    0.845506
          26     90.9344     89.6064    0.814654
          27     89.7524     89.6118    0.784499
          28      94.413     89.7832    0.774995
          29     91.0438     89.8267    0.749489
          30      93.499     89.9491    0.734434
          31     96.2297     90.1517    0.738158
          32     86.1165     90.0256    0.725782
          33     92.9277     90.1136    0.709096
          34     89.2976     90.0896    0.688646
          35     81.4436     89.8425      0.7119
          36     91.1874     89.8799    0.693104
          37     91.4294     89.9218    0.675636
          38     88.5253      89.885    0.658855
          39     95.8205     90.0372    0.659304
          40     91.3764     90.0707    0.643671
          41     82.3981     89.8836     0.65461
          42      89.512     89.8747    0.639084
          43     94.6986     89.9869    0.633991
          44     94.7402     90.0949    0.628719
          45     91.2746     90.1211    0.615294
          46     86.5094     90.0426    0.606907
          47     90.8067     90.0589    0.594211
          48     93.3605     90.1277      0.5858
          49     93.2004     90.1904    0.577191
          50     95.7422     90.3014    0.576229
          51     92.1071     90.3368    0.566017
          52     93.4786     90.3972    0.558347
          53     94.2429     90.4698    0.552507
          54     91.9294     90.4968    0.542936
          55     89.3122     90.4753    0.533492
          56     90.3267     90.4726    0.523972
          57     90.3651     90.4707    0.514783
          58     80.1876     90.2934    0.535569
          59     92.0595     90.3234    0.527327
          60      75.124     90.0701    0.576181
          61     87.5962     90.0295    0.568161
          62     95.6743     90.1205    0.566245
          63     87.6215     90.0809    0.558645
          64     90.2879     90.0841    0.549925
          65     93.2733     90.1332    0.543649
          66     90.3151     90.1359    0.535419
          67     83.6242     90.0387    0.536176
          68     85.4627     89.9714    0.532498
          69     92.0295     90.0013    0.525615
          70     88.3236     89.9773    0.518652
          71     96.3926     90.0677    0.519158
          72      92.671     90.1038    0.513205
          73     82.4597     89.9991    0.516748
          74     87.8691     89.9703    0.510566
          75      93.531     90.0178     0.50596
          76     88.9164     90.0033    0.499511
          77     92.3001     90.0331    0.493913
          78     95.0756     90.0978    0.491794
          79     94.0505     90.1478    0.488107
          80     93.3568     90.1879    0.483651
          81     89.9455     90.1849    0.477689
          82     90.8097     90.1926    0.471925
          83     87.2216     90.1568    0.467594
          84     92.9211     90.1897    0.463184
          85     91.1435     90.2009    0.457871
          86     90.4155     90.2034    0.452554
          87     96.5301     90.2761    0.453157
          88     93.2226     90.3096    0.449243
          89     93.5547     90.3461    0.445672
          90     89.5857     90.3376    0.440801
          91      89.753     90.3312    0.436003
          92     91.1581     90.3402    0.431357
          93     92.6229     90.3647    0.427416
          94     85.4763     90.3127    0.426021
          95     89.5832      90.305    0.421606
          96     87.1731     90.2724    0.418475
          97     94.6364     90.3174    0.416572
          98     85.2859     90.2661    0.415473
          99     92.3044     90.2866    0.411786
         100     91.2947     90.2967    0.407792
