#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00599    -1.00599           0
           2   -0.999116    -1.00256  0.00243208
           3    -1.00734    -1.00415  0.00207878
           4    -1.00825    -1.00517  0.00179449
           5    -1.01231     -1.0066  0.00192153
           6   -0.994813    -1.00464  0.00240445
           7   -0.999586    -1.00392  0.00216656
           8    -1.00235    -1.00372  0.00190455
           9    -1.00379    -1.00373  0.00169295
          10      -1.003    -1.00365  0.00152523
          11    -1.00901    -1.00414  0.00146226
          12   -0.991977    -1.00313  0.00165492
          13   -0.994134    -1.00244  0.00166597
          14    -1.00492    -1.00261  0.00155639
          15   -0.995738    -1.00216  0.00151863
          16    -1.00282     -1.0022  0.00142428
          17   -0.996219    -1.00184  0.00138322
          18    -1.00071    -1.00178  0.00130781
          19    -1.00935    -1.00218  0.00129816
          20     -1.0055    -1.00235  0.00124384
          21    -1.00847    -1.00264  0.00121836
          22   -0.994382    -1.00226   0.0012194
          23    -0.99823    -1.00209  0.00117892
          24    -1.01213    -1.00251  0.00120182
          25   -0.998508    -1.00235  0.00116434
          26   -0.997436    -1.00216  0.00113477
          27    -1.00396    -1.00222  0.00109469
          28    -1.00872    -1.00246  0.00107988
          29    -1.00442    -1.00252  0.00104476
          30    -1.00859    -1.00273  0.00102933
          31    -1.01183    -1.00302   0.0010372
          32   -0.999968    -1.00292  0.00100916
          33    -1.00385    -1.00295 0.000978966
          34    -1.00209    -1.00293 0.000950503
          35   -0.986304    -1.00245  0.00103522
          36    -1.00408     -1.0025  0.00100745
          37    -1.00569    -1.00258 0.000983924
          38    -1.00185    -1.00256 0.000958223
          39    -1.01137    -1.00279 0.000959893
          40    -1.00523    -1.00285  0.00093783
          41   -0.987603    -1.00248 0.000985941
          42    -1.00299    -1.00249 0.000962542
          43     -1.0095    -1.00265  0.00095384
          44    -1.00844    -1.00279 0.000941183
          45    -1.00596    -1.00286 0.000922913
          46   -0.999695    -1.00279 0.000905406
          47    -1.00248    -1.00278 0.000886166
          48    -1.00856     -1.0029 0.000875845
          49    -1.00761      -1.003 0.000863236
          50    -1.01084    -1.00315 0.000860086
          51    -1.00591    -1.00321 0.000844913
          52     -1.0027     -1.0032  0.00082872
          53    -1.00855     -1.0033  0.00081922
          54    -1.00624    -1.00335 0.000805862
          55    -1.00291    -1.00335  0.00079125
          56    -1.00434    -1.00336 0.000777318
          57    -1.00362    -1.00337 0.000763694
          58   -0.992844    -1.00319 0.000771782
          59    -1.00542    -1.00322  0.00075963
          60   -0.984221    -1.00291 0.000810316
          61    -1.00158    -1.00289 0.000797324
          62    -1.01175    -1.00303 0.000797192
          63    -1.00174    -1.00301 0.000784802
          64    -1.00465    -1.00303 0.000772959
          65    -1.00857    -1.00312 0.000765745
          66    -1.00285    -1.00312 0.000754154
          67   -0.997487    -1.00303 0.000747561
          68   -0.998678    -1.00297 0.000739304
          69     -1.0064    -1.00302 0.000730257
          70     -1.0017      -1.003 0.000720066
          71    -1.01241    -1.00313 0.000722035
          72    -1.00726    -1.00319 0.000714277
          73   -0.994049    -1.00306 0.000715379
          74    -1.00036    -1.00303 0.000706646
          75    -1.00857     -1.0031 0.000701075
          76    -1.00206    -1.00309 0.000691984
          77     -1.0057    -1.00312 0.000683832
          78    -1.00989    -1.00321 0.000680542
          79   -0.999135    -1.00316 0.000673877
          80   -0.997676    -1.00309 0.000668926
          81    -1.00414     -1.0031 0.000660795
          82    -1.00246    -1.00309 0.000652782
          83   -0.999759    -1.00305 0.000646152
          84    -1.00729     -1.0031 0.000640427
          85    -1.00409    -1.00311 0.000632998
          86    -1.00347    -1.00312 0.000625651
          87    -1.01136    -1.00321 0.000625586
          88    -1.00778    -1.00327 0.000620631
          89    -1.00833    -1.00332 0.000616258
          90    -1.00313    -1.00332 0.000609414
          91    -1.00372    -1.00332 0.000602733
          92    -1.00515    -1.00334 0.000596508
          93      -1.008    -1.00339 0.000592187
          94   -0.997301    -1.00333 0.000589424
          95    -1.00359    -1.00333 0.000583226
          96   -0.998886    -1.00329 0.000578987
          97    -1.00991    -1.00335 0.000577028
          98   -0.995336    -1.00327  0.00057691
          99    -1.00702    -1.00331 0.000572322
         100    -1.00525    -1.00333 0.000566926
