#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.935732    0.935732           0
           2    0.871384    0.903558   0.0227505
           3    0.936756    0.914624   0.0176543
           4    0.957816    0.925422     0.01621
           5    0.982524    0.936842   0.0165079
           6     0.80546    0.914945   0.0242654
           7    0.798884    0.898365   0.0258501
           8    0.927152    0.901964   0.0228679
           9    0.941512    0.906358   0.0207449
          10    0.918208    0.907543   0.0187042
          11    0.955396    0.911893   0.0175025
          12    0.781236    0.901005   0.0191332
          13    0.597104    0.877628   0.0285722
          14    0.944388    0.882397   0.0269263
          15    0.849696    0.880217   0.0252193
          16    0.892436     0.88098   0.0236547
          17    0.867352    0.880179   0.0222768
          18      0.7703    0.874074   0.0218596
          19    0.968912    0.879066   0.0212713
          20    0.922784    0.881252   0.0203198
          21    0.968496    0.885406   0.0197723
          22    0.651912    0.874793   0.0215345
          23    0.901096    0.875936   0.0206286
          24     0.97428    0.880034   0.0201719
          25    0.830996    0.878072   0.0194602
          26    0.574612    0.866401   0.0219343
          27    0.867452     0.86644    0.021122
          28    0.964272    0.869934   0.0206546
          29    0.940096    0.872353   0.0200835
          30    0.947952    0.874873   0.0195716
          31    0.976428    0.878149   0.0192124
          32    0.875604     0.87807   0.0186122
          33    0.729068    0.873554   0.0185878
          34    0.873976    0.873567   0.0180411
          35    0.482012     0.86238   0.0207057
          36    0.889724    0.863139   0.0201445
          37    0.942336     0.86528   0.0197135
          38     0.90306    0.866274   0.0192197
          39     0.97254    0.868999   0.0189191
          40    0.937836     0.87072   0.0185242
          41    0.487748    0.861379   0.0202912
          42    0.835176    0.860755   0.0198177
          43    0.963968    0.863155   0.0195016
          44       0.968    0.865538   0.0192034
          45    0.926168    0.866885   0.0188239
          46    0.888728     0.86736   0.0184207
          47     0.72618    0.864356    0.018272
          48       0.954    0.866224   0.0179865
          49    0.950696    0.867948   0.0177019
          50    0.970964    0.870008   0.0174673
          51    0.949296    0.871563   0.0171939
          52    0.697952    0.868224   0.0171843
          53    0.958868    0.869934    0.016945
          54    0.936576    0.871169   0.0166761
          55    0.913608     0.87194   0.0163907
          56    0.928448    0.872949    0.016129
          57    0.936992    0.874073   0.0158852
          58    0.834596    0.873392   0.0156259
          59    0.936312    0.874459   0.0153974
          60    0.646228    0.870655   0.0156035
          61    0.897836      0.8711   0.0153541
          62    0.972532    0.872736   0.0151934
          63    0.898752    0.873149   0.0149578
          64    0.927704    0.874002   0.0147484
          65    0.950516    0.875179   0.0145684
          66    0.829292    0.874484   0.0143642
          67     0.87876    0.874547     0.01415
          68    0.882708    0.874667   0.0139424
          69    0.922608    0.875362   0.0137576
          70    0.912348    0.875891   0.0135712
          71    0.977524    0.877322   0.0134554
          72    0.949236    0.878321   0.0133055
          73    0.827264    0.877621   0.0131416
          74     0.89786    0.877895   0.0129669
          75    0.954756     0.87892   0.0128344
          76    0.882976    0.878973   0.0126656
          77    0.896408      0.8792   0.0125032
          78    0.969468    0.880357   0.0123963
          79     0.51154    0.875688    0.013089
          80    0.471788     0.87064    0.013865
          81    0.923156    0.871288    0.013709
          82    0.805796    0.870489    0.013565
          83    0.904744    0.870902   0.0134079
          84    0.894948    0.871188   0.0132513
          85    0.929276    0.871872    0.013113
          86    0.936388    0.872622    0.012982
          87    0.979096    0.873846   0.0128903
          88    0.951232    0.874725   0.0127738
          89    0.952756    0.875602   0.0126603
          90     0.92322    0.876131   0.0125307
          91    0.906428    0.876464   0.0123974
          92    0.929424    0.877039    0.012276
          93    0.949368    0.877817   0.0121686
          94    0.869036    0.877724   0.0120395
          95    0.927964    0.878253   0.0119244
          96     0.90748    0.878557   0.0118041
          97    0.958532    0.879381   0.0117112
          98    0.782424    0.878392   0.0116334
          99    0.940928    0.879024    0.011533
         100    0.939864    0.879632   0.0114337
