#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.223746    0.223746           0
           2    0.319808    0.274143         nan
           3    0.206998    0.252777         nan
           4     0.18607    0.236732         nan
           5    0.121717     0.21536         nan
           6    0.393006    0.248828         nan
           7    0.310642    0.258284         nan
           8    0.262846    0.258908         nan
           9     0.27849    0.261084         nan
          10     0.26519    0.261504         nan
          11    0.192389    0.255695         nan
          12    0.426405    0.272182         nan
          13    0.355535    0.279742         nan
          14     0.23856    0.276883         nan
          15    0.371031    0.283748         nan
          16    0.289386    0.284105         nan
          17    0.350702    0.288418         nan
          18    0.298952    0.289017         nan
          19    0.167974    0.283217         nan
          20    0.256686    0.281995         nan
          21    0.177647    0.277367         nan
          22    0.340172    0.280813         nan
          23    0.328707    0.283031         nan
          24    0.132992    0.277585         nan
          25    0.348775    0.280555         nan
          26    0.283583     0.28085         nan
          27    0.283203     0.28096         nan
          28    0.173888    0.277427         nan
          29    0.250694    0.276531         nan
          30    0.183484    0.273666         nan
          31    0.143018     0.26997         nan
          32    0.297711    0.270893         nan
          33    0.225768    0.269531         nan
          34    0.288277    0.270086         nan
          35    0.407565    0.275548         nan
          36    0.257682    0.275066         nan
          37    0.219666    0.273622         nan
          38    0.293981    0.274161         nan
          39    0.147722    0.271307         nan
          40    0.234307    0.270411         nan
          41     0.41143    0.274956         nan
          42    0.261387    0.274635         nan
          43    0.180535    0.272669         nan
          44    0.189036    0.270917         nan
          45    0.235751     0.27018         nan
          46    0.314455    0.271185         nan
          47    0.246224    0.270654         nan
          48    0.191674    0.269145         nan
          49    0.221714    0.268266         nan
          50    0.167141    0.266484         nan
          51    0.219926      0.2656         nan
          52    0.214247    0.264613         nan
          53    0.179595    0.263116         nan
          54    0.232649    0.262583         nan
          55    0.272012    0.262755         nan
          56    0.277124    0.263015         nan
          57    0.252806    0.262836         nan
          58    0.401702    0.265606         nan
          59    0.251153    0.265377         nan
          60    0.500403    0.270478         nan
          61    0.279428    0.270631         nan
          62    0.133088    0.268662         nan
          63    0.275864    0.268781         nan
          64    0.249051    0.268481         nan
          65     0.19344     0.26742         nan
          66    0.249833    0.267154         nan
          67     0.33318    0.268232         nan
          68    0.345212    0.269419         nan
          69    0.246221    0.269117         nan
          70    0.270209    0.269137         nan
          71    0.119125     0.26727         nan
          72    0.201077    0.266398         nan
          73    0.426747     0.26882         nan
          74    0.302505    0.269295         nan
          75    0.194551    0.268379         nan
          76    0.304643    0.268859         nan
          77    0.220577    0.268249         nan
          78    0.158663     0.26696         nan
          79    0.211022    0.266294         nan
          80    0.302743    0.266823         nan
          81    0.240179    0.266497         nan
          82    0.276942    0.266625         nan
          83    0.312961     0.26721         nan
          84    0.201671    0.266472         nan
          85    0.252159    0.266306         nan
          86    0.262488    0.266262         nan
          87    0.145568    0.265029         nan
          88     0.20611    0.264406         nan
          89    0.185788     0.26358         nan
          90    0.275958    0.263718         nan
          91    0.251081    0.263579         nan
          92    0.230413    0.263226         nan
          93    0.199049    0.262582         nan
          94    0.350221    0.263592         nan
          95    0.250545    0.263455         nan
          96    0.326798    0.264156         nan
          97    0.162736    0.263199         nan
          98    0.359892    0.264316         nan
          99    0.243294    0.264132         nan
         100    0.224279    0.263741         nan
