#   N_BLOCK:  ACCEPTANCE:
           1    0.505963
           2    0.509083
           3    0.511556
           4    0.510287
           5     0.51022
           6    0.509446
           7    0.509402
           8    0.509645
           9    0.509556
          10    0.509295
          11    0.509517
          12    0.509279
          13    0.508781
          14    0.508927
          15     0.50902
          16    0.509358
          17    0.509548
          18    0.509503
          19    0.509386
          20    0.509336
          21    0.509441
          22    0.509623
          23    0.509727
          24    0.509845
          25    0.509769
          26     0.50959
          27    0.509607
          28    0.509742
          29    0.509712
          30    0.509752
          31    0.509809
          32    0.509834
          33    0.509791
          34      0.5098
          35    0.509799
          36    0.509733
          37    0.509644
          38    0.509629
          39    0.509691
          40     0.50964
          41     0.50966
          42    0.509808
          43    0.509852
          44    0.509817
          45    0.509774
          46    0.509764
          47    0.509807
          48    0.509843
          49    0.509849
          50    0.509888
          51    0.509891
          52    0.509855
          53    0.509858
          54    0.509915
          55     0.50984
          56    0.509817
          57    0.509775
          58    0.509799
          59    0.509829
          60    0.509915
          61    0.509927
          62    0.509912
          63    0.509905
          64    0.509962
          65    0.509931
          66    0.509868
          67    0.509942
          68     0.50994
          69     0.50994
          70    0.509946
          71    0.509869
          72    0.509916
          73     0.50995
          74    0.509934
          75    0.509945
          76    0.509926
          77    0.509924
          78    0.509919
          79    0.509915
          80    0.509912
          81    0.509911
          82    0.509934
          83    0.509971
          84    0.509965
          85    0.510006
          86    0.510065
          87    0.510059
          88    0.510061
          89    0.510065
          90    0.510058
          91     0.51012
          92    0.510107
          93    0.510128
          94    0.510135
          95    0.510162
          96    0.510123
          97    0.510136
          98    0.510172
          99    0.510202
         100    0.510164
