#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913  0.00100876  0.00100876           0
           1    0.910562   0.0231254   0.0231254           0
           1    0.936212    0.183526    0.183526           0
           1    0.961861    0.565695    0.565695           0
           1    0.987511     1.22729     1.22729           0
           1     1.01316     1.88533     1.88533           0
           1     1.03881     2.39005     2.39005           0
           1     1.06446     2.59264     2.59264           0
           1     1.09011     2.55118     2.55118           0
           1     1.11576     2.39354     2.39354           0
           1     1.14141     2.16409     2.16409           0
           1     1.16706     1.94526     1.94526           0
           1     1.19271     1.74548     1.74548           0
           1     1.21836     1.51306     1.51306           0
           1     1.24401     1.34338     1.34338           0
           1     1.26966     1.21133     1.21133           0
           1     1.29531     1.10014     1.10014           0
           1     1.32096     1.01845     1.01845           0
           1     1.34661    0.926518    0.926518           0
           1     1.37226    0.876456    0.876456           0
           1     1.39791    0.810374    0.810374           0
           1     1.42355    0.775695    0.775695           0
           1      1.4492     0.73894     0.73894           0
           1     1.47485    0.719636    0.719636           0
           1      1.5005    0.691129    0.691129           0
           1     1.52615    0.687888    0.687888           0
           1      1.5518    0.685318    0.685318           0
           1     1.57745    0.679634    0.679634           0
           1      1.6031    0.683881    0.683881           0
           1     1.62875    0.710698    0.710698           0
           1      1.6544     0.71793     0.71793           0
           1     1.68005    0.742763    0.742763           0
           1      1.7057    0.771886    0.771886           0
           1     1.73135    0.789602    0.789602           0
           1       1.757    0.834389    0.834389           0
           1     1.78265    0.883184    0.883184           0
           1      1.8083    0.906448    0.906448           0
           1     1.83395    0.933285    0.933285           0
           1      1.8596    0.977371    0.977371           0
           1     1.88525     1.02117     1.02117           0
           1      1.9109     1.05977     1.05977           0
           1     1.93655     1.08745     1.08745           0
           1      1.9622     1.12505     1.12505           0
           1     1.98785     1.15638     1.15638           0
           1      2.0135     1.18583     1.18583           0
           1     2.03915      1.1938      1.1938           0
           1      2.0648     1.20868     1.20868           0
           1     2.09045     1.19337     1.19337           0
           1      2.1161     1.17743     1.17743           0
           1     2.14174     1.18717     1.18717           0
           1     2.16739     1.15962     1.15962           0
           1     2.19304     1.13479     1.13479           0
           1     2.21869     1.10229     1.10229           0
           1     2.24434     1.07456     1.07456           0
           1     2.26999     1.05576     1.05576           0
           1     2.29564      1.0338      1.0338           0
           1     2.32129     1.01252     1.01252           0
           1     2.34694    0.989335    0.989335           0
           1     2.37259      0.9682      0.9682           0
           1     2.39824    0.954181    0.954181           0
           1     2.42389    0.944227    0.944227           0
           1     2.44954    0.926543    0.926543           0
           1     2.47519    0.919303    0.919303           0
           1     2.50084    0.904504    0.904504           0
           1     2.52649    0.900475    0.900475           0
           1     2.55214    0.906084    0.906084           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263           0           0           0
           2    0.884913 0.000917052 0.000962905 3.24227e-05
           2    0.910562   0.0250308   0.0240781 0.000673682
           2    0.936212    0.170745    0.177135  0.00451886
           2    0.961861    0.545825     0.55576  0.00702537
           2    0.987511     1.15895     1.19312   0.0241613
           2     1.01316     1.87008     1.87771  0.00539208
           2     1.03881     2.30913     2.34959   0.0286101
           2     1.06446     2.52426     2.55845   0.0241781
           2     1.09011     2.54019     2.54568  0.00388858
           2     1.11576     2.40778     2.40066  0.00503752
           2     1.14141     2.18007     2.17208  0.00565168
           2     1.16706     1.99113      1.9682    0.016218
           2     1.19271     1.78324     1.76436   0.0133505
           2     1.21836     1.57924     1.54615   0.0233992
           2     1.24401     1.39595     1.36966   0.0185887
           2     1.26966      1.2508     1.23107   0.0139549
           2     1.29531     1.12767      1.1139  0.00973042
           2     1.32096     1.03541     1.02693  0.00599497
           2     1.34661    0.958003     0.94226   0.0111315
           2     1.37226    0.878477    0.877467 0.000714617
           2     1.39791    0.808684    0.809529 0.000597682
           2     1.42355    0.774135    0.774915  0.00055128
           2      1.4492    0.737914    0.738427 0.000362686
           2     1.47485    0.714353    0.716994  0.00186763
           2      1.5005    0.686249    0.688689  0.00172539
           2     1.52615    0.688135    0.688012 8.72094e-05
           2      1.5518    0.680636    0.682977  0.00165538
           2     1.57745     0.67467    0.677152  0.00175504
           2      1.6031     0.67955    0.681715  0.00153137
           2     1.62875    0.677861    0.694279   0.0116097
           2      1.6544    0.709954    0.713942  0.00282009
           2     1.68005    0.724749    0.733756  0.00636883
           2      1.7057    0.748782    0.760334  0.00816849
           2     1.73135    0.777191    0.783396  0.00438765
           2       1.757    0.802961    0.818675   0.0111118
           2     1.78265    0.849263    0.866224   0.0119928
           2      1.8083    0.881851     0.89415  0.00869661
           2     1.83395    0.923591    0.928438  0.00342732
           2      1.8596    0.963934    0.970652   0.0047505
           2     1.88525     1.00511     1.01314  0.00567941
           2      1.9109     1.05458     1.05717   0.0018357
