#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.36118     2.36118           0
           2      2.1465     2.25384   0.0758993
           3     2.01778     2.17515   0.0817794
           4     2.42398     2.23736   0.0816341
           5     2.34603     2.25909   0.0681391
           6     2.37386     2.27822   0.0594069
           7     2.28415     2.27907   0.0509262
           8     2.27265     2.27827   0.0445667
           9      2.1787      2.2672   0.0409648
          10     2.34911     2.27539   0.0376783
          11     2.15177     2.26416     0.03589
          12     2.33511     2.27007   0.0333827
          13     2.44616     2.28361   0.0334502
          14     2.30376     2.28505   0.0310918
          15     2.27647     2.28448   0.0290243
          16     2.11404     2.27383   0.0290996
          17     2.09165     2.26311   0.0292948
          18     2.31887     2.26621   0.0278306
          19     2.36027     2.27116   0.0268024
          20      2.2781     2.27151   0.0254646
          21     2.28218     2.27201    0.024257
          22     2.18517     2.26807   0.0234734
          23     2.17086     2.26384   0.0228301
          24     2.10587     2.25726    0.022808
          25     2.13668     2.25244   0.0223998
          26     2.37415     2.25712    0.022022
          27     2.28803     2.25826   0.0212361
          28      2.1049     2.25278   0.0211723
          29     2.24693     2.25258   0.0204431
          30     2.16345     2.24961   0.0199764
          31     2.10717     2.24502   0.0198535
          32     2.17038     2.24268   0.0193696
          33     2.27947      2.2438   0.0188147
          34     2.26163     2.24432   0.0182686
          35     2.30684     2.24611   0.0178338
          36     2.46909      2.2523   0.0183826
          37     2.39137     2.25606   0.0182659
          38     2.21633     2.25502   0.0178151
          39     2.29543     2.25605   0.0173885
          40     2.31573     2.25755   0.0170176
          41     2.17072     2.25543   0.0167338
          42     2.10496     2.25184   0.0167145
          43     2.18018     2.25018   0.0164087
          44     2.20073     2.24905   0.0160742
          45     2.14679     2.24678   0.0158768
          46      2.3182     2.24833   0.0156074
          47     2.12518     2.24571   0.0154937
          48     2.13344     2.24338   0.0153465
          49     2.20353     2.24256   0.0150548
          50     2.17826     2.24128   0.0148085
          51     2.19957     2.24046   0.0145407
          52     2.27742     2.24117   0.0142785
          53     2.24752     2.24129   0.0140096
          54     2.11047     2.23887    0.013958
          55     2.39309     2.24167   0.0139831
          56     2.26131     2.24202   0.0137378
          57     2.29579     2.24296   0.0135291
          58       2.198     2.24219   0.0133181
          59     2.13396     2.24035   0.0132181
          60     2.07474     2.23759   0.0132828
          61     2.15336     2.23621   0.0131367
          62     2.28681     2.23703   0.0129501
          63     2.23873     2.23706   0.0127446
          64     2.07789     2.23457   0.0127858
          65     2.24935      2.2348   0.0125911
          66     2.31528     2.23602   0.0124593
          67     2.23085     2.23594   0.0122735
          68     2.25076     2.23616    0.012095
          69     2.16882     2.23518    0.011959
          70     2.12588     2.23362   0.0118896
          71     2.44246     2.23656   0.0120806
          72     2.08485     2.23445   0.0120951
          73     2.23632     2.23448   0.0119295
          74     2.26001     2.23482   0.0117733
          75     2.21086     2.23451   0.0116206
          76     2.34248     2.23593   0.0115542
          77     2.23319     2.23589   0.0114042
          78      2.2062     2.23551   0.0112644
          79     2.30807     2.23643   0.0111592
          80     2.24631     2.23655   0.0110204
          81     2.23101     2.23648   0.0108845
          82     2.29216     2.23716    0.010773
          83     2.25784     2.23741    0.010646
          84     2.27902     2.23791   0.0105308
          85     2.18104     2.23724   0.0104282
          86     2.15164     2.23624   0.0103543
          87     2.28004     2.23675   0.0102475
          88       2.392     2.23851   0.0102818
          89     2.25303     2.23867   0.0101676
          90     2.33641     2.23976   0.0101124
          91     2.15367     2.23881   0.0100454
          92     2.30095     2.23949  0.00995893
          93     2.12987     2.23831  0.00992135
          94     2.15968     2.23747    0.009851
          95     2.16464     2.23671   0.0097771
          96     2.26095     2.23696  0.00967851
          97     2.20186      2.2366   0.0095855
          98     2.06427     2.23484  0.00964763
          99     2.06565     2.23313  0.00970036
         100     2.40092     2.23481   0.0097474
