#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.43781    -5.43781           0
           2    -5.47389    -5.45585   0.0127584
           3    -5.50172    -5.47114   0.0151066
           4    -5.43183    -5.46131   0.0141704
           5    -5.43884    -5.45682   0.0120278
           6    -5.43755    -5.45361   0.0104431
           7      -5.455    -5.45381  0.00895313
           8    -5.45447    -5.45389  0.00783437
           9    -5.47285      -5.456   0.0072416
          10    -5.44153    -5.45455  0.00666036
          11    -5.47938    -5.45681  0.00642613
          12    -5.44528    -5.45585  0.00596193
          13    -5.42664     -5.4536  0.00591141
          14    -5.44908    -5.45328  0.00549797
          15    -5.45314    -5.45327  0.00513144
          16    -5.48606    -5.45532  0.00520396
          17    -5.49355    -5.45757  0.00536176
          18    -5.45682    -5.45753  0.00506404
          19    -5.44155    -5.45668  0.00486683
          20    -5.46136    -5.45692   0.0046291
          21    -5.45593    -5.45687  0.00440891
          22    -5.47317    -5.45761   0.0042703
          23    -5.48174    -5.45866  0.00421154
          24    -5.48316    -5.45968  0.00415788
          25     -5.4774    -5.46039  0.00405149
          26    -5.43783    -5.45952  0.00398753
          27    -5.45112    -5.45921  0.00385197
          28    -5.48996    -5.46031  0.00386774
          29    -5.46134    -5.46035  0.00373453
          30    -5.47421    -5.46081  0.00363852
          31    -5.48909    -5.46172  0.00363373
          32    -5.47769    -5.46222   0.0035543
          33    -5.46179    -5.46221  0.00344661
          34    -5.45867     -5.4621  0.00334681
          35    -5.45507     -5.4619  0.00325721
          36    -5.41952    -5.46072  0.00337274
          37    -5.44315    -5.46025  0.00331485
          38    -5.47635    -5.46067  0.00325458
          39    -5.44712    -5.46033  0.00318964
          40    -5.45646    -5.46023  0.00311136
          41    -5.48263    -5.46078  0.00308309
          42    -5.48903    -5.46145  0.00308222
          43    -5.46625    -5.46156  0.00301256
          44    -5.46788     -5.4617  0.00294751
          45    -5.47854    -5.46208  0.00290566
          46    -5.44707    -5.46175  0.00286074
          47     -5.4779    -5.46209  0.00282042
          48    -5.48498    -5.46257  0.00280168
          49    -5.47621    -5.46285   0.0027583
          50    -5.47675    -5.46313  0.00271711
          51    -5.46729    -5.46321  0.00266506
          52    -5.45576    -5.46307  0.00261766
          53    -5.46423    -5.46309  0.00256836
          54    -5.47759    -5.46336   0.0025348
          55    -5.43718    -5.46288  0.00253301
          56    -5.45677    -5.46277  0.00249013
          57    -5.44983    -5.46254  0.00245678
          58    -5.47085    -5.46269  0.00241859
          59    -5.47816    -5.46295  0.00239178
          60    -5.49481    -5.46348  0.00241015
          61    -5.48372    -5.46381  0.00239337
          62    -5.45217    -5.46363  0.00236213
          63    -5.47208    -5.46376  0.00232844
          64     -5.4899    -5.46417  0.00232762
          65    -5.45483    -5.46402  0.00229624
          66    -5.44906     -5.4638  0.00227261
          67    -5.46098    -5.46376  0.00223909
          68    -5.47209    -5.46388  0.00220951
          69     -5.4782    -5.46409  0.00218722
          70    -5.48798    -5.46443  0.00218245
          71    -5.42555    -5.46388  0.00221935
          72    -5.48933    -5.46423  0.00221649
          73    -5.46369    -5.46423  0.00218614
          74    -5.46376    -5.46422  0.00215661
          75     -5.4625     -5.4642  0.00212798
          76    -5.44519    -5.46395  0.00211462
          77      -5.457    -5.46386  0.00208908
          78    -5.46454    -5.46386  0.00206232
          79    -5.44893    -5.46368  0.00204486
          80    -5.45868    -5.46361  0.00202025
          81    -5.46647    -5.46365  0.00199562
          82    -5.45541    -5.46355  0.00197381
          83    -5.46659    -5.46358  0.00195037
          84    -5.45639     -5.4635  0.00192903
          85    -5.46903    -5.46356  0.00190744
          86    -5.47953    -5.46375  0.00189427
          87    -5.44811    -5.46357    0.001881
          88     -5.4359    -5.46326  0.00188572
          89    -5.45478    -5.46316  0.00186693
          90     -5.4361    -5.46286  0.00187025
          91    -5.47957    -5.46304  0.00185869
          92    -5.45365    -5.46294  0.00184129
          93    -5.48321    -5.46316  0.00183435
          94    -5.47956    -5.46333  0.00182311
          95     -5.4774    -5.46348  0.00180992
          96    -5.45684    -5.46341  0.00179239
          97    -5.46995    -5.46348  0.00177518
          98    -5.49676    -5.46382  0.00178925
          99    -5.49977    -5.46418  0.00180766
         100     -5.4385    -5.46393  0.00180773
