#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.54066    -5.54066           0
           2     -5.4514    -5.49603   0.0315579
           3    -5.46616    -5.48607   0.0225549
           4    -5.35886    -5.45427   0.0323228
           5    -5.43916    -5.45125    0.025999
           6    -5.38509    -5.44022   0.0238898
           7     -5.4251    -5.43806   0.0205745
           8    -5.43439     -5.4376   0.0180078
           9    -5.31797    -5.42431   0.0203294
          10    -5.27343    -5.40922   0.0232304
          11    -5.13659    -5.38444   0.0316927
          12    -5.22191    -5.37089   0.0318143
          13    -5.35192    -5.36943   0.0294005
          14    -5.33553    -5.36701      0.0274
          15    -5.38474    -5.36819   0.0255988
          16     -5.4216    -5.37153   0.0242156
          17    -5.45305    -5.37633   0.0232611
          18    -5.39519    -5.37738   0.0219924
          19    -5.36643     -5.3768   0.0208424
          20    -5.42183    -5.37905   0.0199216
          21    -5.45591    -5.38271   0.0193062
          22    -5.40316    -5.38364    0.018451
          23    -5.38177    -5.38356    0.017649
          24    -5.36885    -5.38295   0.0169242
          25    -5.51089    -5.38806   0.0170034
          26     -5.4733    -5.39134   0.0166625
          27    -5.44724    -5.39341   0.0161734
          28     -5.4518     -5.3955   0.0157297
          29    -5.49908    -5.39907   0.0155875
          30    -5.46351    -5.40122   0.0152152
          31    -5.47021    -5.40344   0.0148862
          32    -5.48554    -5.40601   0.0146404
          33     -5.5408    -5.41009   0.0147555
          34    -5.52881    -5.41358   0.0147289
          35    -5.57338    -5.41815    0.014999
          36    -5.58585    -5.42281   0.0152886
          37    -5.54148    -5.42602   0.0152081
          38     -5.5127     -5.4283    0.014978
          39    -5.45092    -5.42888   0.0146052
          40    -5.41974    -5.42865   0.0142419
          41    -5.31066    -5.42577   0.0141822
          42    -5.30514     -5.4229   0.0141324
          43    -5.34154    -5.42101   0.0139299
          44    -5.33664    -5.41909   0.0137446
          45    -5.34655    -5.41748   0.0135334
          46    -5.35843    -5.41619   0.0132999
          47    -5.16248     -5.4108   0.0140698
          48    -5.32057    -5.40892   0.0139017
          49    -5.35091    -5.40773   0.0136683
          50    -5.37508    -5.40708   0.0134105
          51    -5.37562    -5.40646   0.0131618
          52    -5.47835    -5.40784    0.012981
          53    -5.39091    -5.40753   0.0127401
          54    -5.39415    -5.40728   0.0125065
          55    -5.40169    -5.40718   0.0122796
          56    -5.41973     -5.4074   0.0120623
          57    -5.40438    -5.40735   0.0118508
          58    -5.40942    -5.40738   0.0116465
          59     -5.4939    -5.40885   0.0115411
          60    -5.47765       -5.41   0.0114056
          61    -5.56059    -5.41246   0.0114827
          62     -5.4457      -5.413     0.01131
          63     -5.5078    -5.41451   0.0112301
          64    -5.58026     -5.4171   0.0113494
          65    -5.53382    -5.41889   0.0113159
          66    -5.47017    -5.41967   0.0111711
          67    -5.51499    -5.42109   0.0110946
          68    -5.57023    -5.42328   0.0111461
          69    -5.51517    -5.42462   0.0110639
          70    -5.53803    -5.42624   0.0110238
          71     -5.5132    -5.42746   0.0109364
          72    -5.40172     -5.4271   0.0107903
          73    -5.45676    -5.42751   0.0106502
          74    -5.57335    -5.42948    0.010687
          75    -5.49909    -5.43041   0.0105848
          76    -5.52818     -5.4317   0.0105234
          77    -5.49785    -5.43255   0.0104217
          78    -5.43105    -5.43254   0.0102881
          79    -5.43464    -5.43256   0.0101579
          80    -5.45188     -5.4328   0.0100338
          81    -5.42339    -5.43269  0.00991064
          82    -5.49846    -5.43349  0.00982218
          83    -5.39901    -5.43307  0.00971262
          84    -5.27521    -5.43119  0.00977712
          85    -5.30048    -5.42966  0.00978229
          86      -5.363    -5.42888   0.0096992
          87    -5.46219    -5.42926  0.00959527
          88    -5.38016    -5.42871  0.00950244
          89    -5.51514    -5.42968  0.00944516
          90    -5.48213    -5.43026  0.00935818
          91    -5.41145    -5.43005  0.00925763
          92    -5.40769    -5.42981  0.00916019
          93    -5.40177    -5.42951  0.00906666
          94    -5.42149    -5.42942   0.0089706
          95    -5.30274    -5.42809  0.00897475
          96    -5.29715    -5.42673  0.00898431
          97    -5.20979    -5.42449  0.00916582
          98    -5.41772    -5.42442  0.00907255
          99    -5.49134     -5.4251  0.00900606
         100    -5.53302    -5.42618  0.00898043
         101     -5.5429    -5.42733  0.00896557
         102    -5.53375    -5.42837  0.00893817
         103    -5.47038    -5.42878  0.00886069
         104    -5.40181    -5.42852  0.00877929
         105    -5.38884    -5.42815  0.00870381
         106    -5.34794    -5.42739  0.00865452
         107    -5.40309    -5.42716  0.00857662
         108    -5.44401    -5.42732  0.00849862
         109    -5.43923    -5.42743  0.00842136
         110    -5.47431    -5.42785  0.00835558
         111    -5.44845    -5.42804  0.00828236
         112    -5.43561    -5.42811  0.00820869
         113    -5.48071    -5.42857  0.00814923
         114    -5.57133    -5.42982   0.0081734
         115    -5.63584    -5.43162  0.00829632
         116    -5.55122    -5.43265  0.00828862
         117    -5.45353    -5.43282   0.0082197
         118    -5.40001    -5.43255  0.00815475
         119    -5.38942    -5.43218  0.00809427
         120    -5.41211    -5.43202  0.00802854
         121    -5.39614    -5.43172  0.00796767
         122    -5.42739    -5.43169  0.00790244
         123    -5.35589    -5.43107  0.00786218
         124    -5.42048    -5.43098  0.00779924
         125    -5.47652    -5.43135  0.00774535
         126    -5.45798    -5.43156  0.00768676
         127    -5.46371    -5.43181   0.0076304
         128    -5.51772    -5.43248  0.00760025
         129    -5.46248    -5.43272  0.00754489
         130    -5.43599    -5.43274  0.00748689
         131    -5.37406    -5.43229  0.00744313
         132    -5.45283    -5.43245  0.00738837
         133    -5.48267    -5.43283  0.00734246
         134    -5.47621    -5.43315   0.0072948
         135    -5.54076    -5.43395  0.00728418
         136    -5.46746    -5.43419  0.00723479
         137    -5.52458    -5.43485    0.007212
         138    -5.59667    -5.43603  0.00725444
         139     -5.6629    -5.43766  0.00738358
         140     -5.5345    -5.43835  0.00736317
         141    -5.58086    -5.43936  0.00737999
         142    -5.55455    -5.44017  0.00737246
         143     -5.5809    -5.44116   0.0073863
         144    -5.47939    -5.44142  0.00733977
         145    -5.50884    -5.44189  0.00730387
         146    -5.52443    -5.44245  0.00727569
         147    -5.49655    -5.44282   0.0072355
