#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.12144     2.12144           0
           2     2.45333     2.28738    0.117343
           3     2.34712      2.3073   0.0799005
           4     2.82197     2.43596    0.126521
           5     2.54275     2.45732    0.103004
           6     2.74153     2.50469   0.0961128
           7     2.58171     2.51569   0.0830098
           8     2.62804     2.52974    0.073812
           9      3.1322     2.59668   0.0910376
          10     3.27202     2.66421     0.10401
          11     3.77449     2.76515    0.134915
          12     3.32154     2.81151    0.131398
          13     2.82497     2.81255    0.121295
          14     3.00549     2.82633    0.113411
          15      2.7079     2.81843    0.106125
          16     2.60213     2.80491     0.10035
          17      2.4993     2.78694   0.0960435
          18     2.73138     2.78385   0.0907573
          19     2.77677     2.78348   0.0859814
          20     2.58198      2.7734   0.0822704
          21     2.40015     2.75563   0.0802498
          22     2.64106     2.75042   0.0767708
          23      2.6658     2.74674   0.0735211
          24     2.72761     2.74595    0.070462
          25     2.13868     2.72165   0.0717083
          26     2.25755      2.7038   0.0711373
          27     2.44915     2.69437    0.069125
          28     2.37714     2.68304   0.0675784
          29     2.15326     2.66477   0.0676723
          30     2.37069     2.65497   0.0661227
          31     2.37091     2.64581   0.0646216
          32     2.28374     2.63449    0.063585
          33     2.06584     2.61726   0.0639505
          34     2.01906     2.59967   0.0644445
          35     1.76798      2.5759   0.0668408
          36     1.84356     2.55556   0.0680093
          37     2.00678     2.54073   0.0677693
          38      2.1586     2.53067   0.0667278
          39     2.39277     2.52714   0.0651104
          40     2.52986     2.52721   0.0634827
          41     2.95249     2.53758   0.0627761
          42      3.0027     2.54865   0.0622505
          43     2.81033     2.55474   0.0610996
          44     2.85271     2.56151   0.0600851
          45     2.78202     2.56641   0.0589493
          46     2.71603     2.56966   0.0577575
          47      3.4706     2.58883   0.0596247
          48     2.94064     2.59616   0.0588313
          49     2.81257     2.60058   0.0577962
          50     2.69041     2.60238   0.0566682
          51     2.61109     2.60255   0.0555573
          52     2.10854     2.59305   0.0552952
          53     2.36258      2.5887   0.0544226
          54     2.36676     2.58459   0.0535697
          55     2.48794     2.58283   0.0526246
          56     2.41199     2.57978   0.0517732
          57     2.43098     2.57717   0.0509307
          58     2.27664     2.57199   0.0503154
          59     1.95041     2.56145   0.0505535
          60     2.07277     2.55331   0.0503628
          61     1.70905     2.53947   0.0514038
          62      2.2078     2.53412   0.0508523
          63     2.02475     2.52603   0.0506838
          64     1.62472     2.51195   0.0518115
          65     1.88492      2.5023   0.0519046
          66      2.2168     2.49798   0.0512981
          67     2.13117      2.4925   0.0508238
          68     1.88593     2.48358   0.0508531
          69     2.10312     2.47807   0.0504142
          70     1.89391     2.46972   0.0503799
          71      2.0624     2.46399   0.0499959
          72     2.58013      2.4656   0.0493276
          73     2.32864     2.46372   0.0486875
          74     1.82355     2.45507   0.0487921
          75     2.07295     2.44998   0.0484068
          76     1.95696     2.44349   0.0482026
          77     2.16538     2.43988   0.0477117
          78     2.41967     2.43962   0.0471007
          79     2.39082       2.439   0.0465086
          80     2.36062     2.43802   0.0459375
          81     2.43615       2.438   0.0453704
          82     2.09066     2.43376   0.0450144
          83      2.5411     2.43506   0.0444906
          84     3.16571     2.44375   0.0448032
          85     3.10324     2.45151   0.0449429
          86     2.90435     2.45678   0.0447277
          87     2.35496     2.45561   0.0442289
          88     2.67209     2.45807   0.0437946
          89     2.22762     2.45548    0.043379
          90     2.33331     2.45412   0.0429183
          91     2.58452     2.45555   0.0424706
          92     2.60974     2.45723    0.042042
          93     2.55569     2.45829   0.0416033
          94     2.48146     2.45854   0.0411614
          95      2.9374     2.46358   0.0410356
          96     2.95196     2.46866   0.0409223
          97     3.41021     2.47837   0.0416357
          98     2.58247     2.47943   0.0412244
          99     2.24962     2.47711   0.0408733
         100     1.99961     2.47234   0.0407425
         101     2.01944     2.46785   0.0405851
         102     2.00183     2.46328   0.0404436
         103     2.31052      2.4618   0.0400781
         104     2.79236     2.46498   0.0398186
         105     2.94598     2.46956    0.039702
         106     3.00565     2.47462   0.0396483
         107     2.88519     2.47845    0.039463
         108     2.64519        2.48   0.0391278
         109     2.65279     2.48158   0.0388009
         110     2.51267     2.48187   0.0384492
         111     2.66254     2.48349   0.0381372
         112     2.60578     2.48458   0.0378123
         113     2.31987     2.48313   0.0375058
         114     1.86957     2.47775    0.037561
         115      1.5684     2.46984   0.0380576
         116     1.92791     2.46517   0.0380152
         117     2.28011     2.46358   0.0377231
         118     2.54713     2.46429   0.0374101
         119     2.53871     2.46492    0.037101
         120     2.46242      2.4649   0.0367918
         121     2.57617     2.46582   0.0364992
         122     2.41559      2.4654   0.0362024
         123     2.74595     2.46769   0.0359798
         124     2.46854     2.46769   0.0356897
         125     2.21386     2.46566   0.0354619
         126     2.18303     2.46342   0.0352513
         127     2.06813     2.46031   0.0351109
         128     1.81102     2.45523   0.0352011
         129     2.09106     2.45241   0.0350412
         130     2.26292     2.45095    0.034802
         131     2.48878     2.45124   0.0345375
         132     2.12346     2.44876    0.034365
         133     1.99935     2.44538   0.0342723
         134     2.02695     2.44226   0.0341585
         135     1.79778     2.43748   0.0342375
         136     2.17874     2.43558   0.0340385
         137     1.90626     2.43172   0.0340087
         138      1.5468      2.4253   0.0343614
         139     1.22109     2.41664   0.0351894
         140      1.8459     2.41256   0.0351734
         141     1.60254     2.40682     0.03539
         142     1.71042     2.40192    0.035479
         143     1.59454     2.39627   0.0356773
         144     2.03295     2.39375   0.0355186
         145     1.78504     2.38955   0.0355209
         146     1.77742     2.38536   0.0355242
         147     1.99425      2.3827    0.035382
         148     1.89637     2.37941   0.0352952
         149      1.5751     2.37401   0.0354687
         150     1.89525     2.37082   0.0353756
         151     2.38433     2.37091   0.0351414
         152     2.16646     2.36956   0.0349359
         153     2.15921     2.36819   0.0347346
         154     2.04637      2.3661   0.0345719
         155     1.83838     2.36269   0.0345161
         156     1.83391      2.3593   0.0344609
         157     1.96301     2.35678   0.0343337
         158     1.90355     2.35391    0.034236
         159     2.20447     2.35297   0.0340336
         160     2.47372     2.35373   0.0338292
         161     2.28496      2.3533   0.0336218
         162     2.43622     2.35381   0.0334182
         163      2.7405     2.35618   0.0332973
         164     2.27019     2.35566   0.0330984
         165     2.00953     2.35356   0.0329642
         166     1.73306     2.34982   0.0329768
         167     1.79523      2.3465   0.0329462
         168     2.28352     2.34613   0.0327522
         169     2.37812     2.34632   0.0325589
         170     2.08704     2.34479   0.0324031
         171     2.43389     2.34531   0.0322178
         172     2.61358     2.34687   0.0320682
         173     2.62132     2.34846   0.0319221
         174     2.72684     2.35063   0.0318126
         175     2.92142      2.3539   0.0317976
         176     2.44186      2.3544   0.0316208
         177     2.88283     2.35738   0.0315828
         178     2.44587     2.35788   0.0314093
         179     2.44295     2.35835   0.0312374
         180     2.55527     2.35945    0.031083
         181     2.33938     2.35934   0.0309115
         182     2.02692     2.35751   0.0307956
         183     2.01844     2.35566    0.030683
         184      1.9274     2.35333   0.0306044
         185      2.1698     2.35234    0.030455
         186      2.4402     2.35281   0.0302949
         187     2.47901     2.35348   0.0301405
         188     2.37504      2.3536   0.0299804
         189     2.45685     2.35415   0.0298267
         190     2.74455      2.3562   0.0297404
         191     2.75507     2.35829   0.0296579
         192     3.10318     2.36217   0.0297561
         193     2.51306     2.36295   0.0296122
         194     2.95304     2.36599   0.0296154
         195     2.99654     2.36923   0.0296395
         196     2.83027     2.37158   0.0295815
         197     2.76245     2.37356   0.0294978
         198      2.6825     2.37512   0.0293901
         199     2.26597     2.37457   0.0292475
         200     2.52695     2.37534   0.0291112
         201     2.44944      2.3757   0.0289687
         202      2.5184     2.37641   0.0288339
         203     2.32822     2.37617   0.0286928
         204     2.81596     2.37833    0.028633
         205     2.26768     2.37779   0.0284984
         206     2.20757     2.37696   0.0283721
         207     2.55783     2.37784   0.0282485
         208     2.51863     2.37851   0.0281208
         209     2.40724     2.37865   0.0279866
         210     2.02672     2.37698   0.0279034
         211     2.17992     2.37604   0.0277868
         212     2.56225     2.37692   0.0276696
         213     3.02107     2.37994   0.0277045
         214     2.83866     2.38209   0.0276578
         215     2.41385     2.38224   0.0275296
         216     2.14579     2.38114   0.0274239
         217     2.13131     2.37999   0.0273216
         218     2.34725     2.37984   0.0271967
         219      1.9927     2.37807   0.0271299
         220     2.06247     2.37664   0.0270445
         221     2.05196     2.37517    0.026962
         222     1.98438     2.37341    0.026898
         223     2.20537     2.37265   0.0267879
         224     2.13979     2.37161   0.0266885
         225     2.48332     2.37211   0.0265745
         226     3.00781     2.37492   0.0266053
         227     2.60944     2.37596   0.0265082
         228     2.76205     2.37765    0.026446
         229     3.41617     2.38219   0.0267165
         230     3.23819     2.38591   0.0268583
         231     2.85922     2.38796   0.0268201
         232     2.57332     2.38875   0.0267164
         233      2.1445     2.38771   0.0266223
         234     1.76111     2.38503   0.0266428
         235      1.8496     2.38275   0.0266267
