#     BLOCK:   DISTANCE:   ACT_GOFR:    AVE_GOFR:        ERROR:
           1   0.0128248           0           0           0
           1   0.0384745           0           0           0
           1   0.0641241           0           0           0
           1   0.0897737           0           0           0
           1    0.115423           0           0           0
           1    0.141073           0           0           0
           1    0.166723           0           0           0
           1    0.192372           0           0           0
           1    0.218022           0           0           0
           1    0.243672           0           0           0
           1    0.269321           0           0           0
           1    0.294971           0           0           0
           1     0.32062           0           0           0
           1     0.34627           0           0           0
           1     0.37192           0           0           0
           1    0.397569           0           0           0
           1    0.423219           0           0           0
           1    0.448869           0           0           0
           1    0.474518           0           0           0
           1    0.500168           0           0           0
           1    0.525818           0           0           0
           1    0.551467           0           0           0
           1    0.577117           0           0           0
           1    0.602767           0           0           0
           1    0.628416           0           0           0
           1    0.654066           0           0           0
           1    0.679715           0           0           0
           1    0.705365           0           0           0
           1    0.731015           0           0           0
           1    0.756664           0           0           0
           1    0.782314           0           0           0
           1    0.807964           0           0           0
           1    0.833613           0           0           0
           1    0.859263           0           0           0
           1    0.884913 0.000917052 0.000917052           0
           1    0.910562   0.0235584   0.0235584           0
           1    0.936212    0.147149    0.147149           0
           1    0.961861    0.559098    0.559098           0
           1    0.987511     1.25594     1.25594           0
           1     1.01316     1.89569     1.89569           0
           1     1.03881     2.31312     2.31312           0
           1     1.06446      2.4373      2.4373           0
           1     1.09011     2.48459     2.48459           0
           1     1.11576     2.35598     2.35598           0
           1     1.14141     2.17621     2.17621           0
           1     1.16706     1.94273     1.94273           0
           1     1.19271     1.76951     1.76951           0
           1     1.21836     1.55622     1.55622           0
           1     1.24401     1.43215     1.43215           0
           1     1.26966     1.29303     1.29303           0
           1     1.29531     1.19936     1.19936           0
           1     1.32096     1.06442     1.06442           0
           1     1.34661    0.920657    0.920657           0
           1     1.37226    0.897355    0.897355           0
           1     1.39791    0.789133    0.789133           0
           1     1.42355    0.800643    0.800643           0
           1      1.4492    0.734939    0.734939           0
           1     1.47485    0.723498    0.723498           0
           1      1.5005    0.694829    0.694829           0
           1     1.52615    0.675925    0.675925           0
           1      1.5518    0.647592    0.647592           0
           1     1.57745     0.68659     0.68659           0
           1      1.6031    0.664739    0.664739           0
           1     1.62875    0.682788    0.682788           0
           1      1.6544    0.678284    0.678284           0
           1     1.68005    0.674575    0.674575           0
           1      1.7057    0.722247    0.722247           0
           1     1.73135    0.795471    0.795471           0
           1       1.757    0.841485    0.841485           0
           1     1.78265    0.890483    0.890483           0
           1      1.8083     0.94407     0.94407           0
           1     1.83395     0.95895     0.95895           0
           1      1.8596    0.989416    0.989416           0
           1     1.88525     1.02422     1.02422           0
           1      1.9109      1.0508      1.0508           0
           1     1.93655     1.05467     1.05467           0
           1      1.9622     1.11573     1.11573           0
           1     1.98785     1.15137     1.15137           0
           1      2.0135     1.17129     1.17129           0
           1     2.03915     1.15385     1.15385           0
           1      2.0648      1.1792      1.1792           0
           1     2.09045     1.23391     1.23391           0
           1      2.1161     1.20853     1.20853           0
           1     2.14174     1.20775     1.20775           0
           1     2.16739     1.19165     1.19165           0
           1     2.19304     1.15241     1.15241           0
           1     2.21869     1.13025     1.13025           0
           1     2.24434      1.1042      1.1042           0
           1     2.26999      1.0772      1.0772           0
           1     2.29564     1.03768     1.03768           0
           1     2.32129     1.01125     1.01125           0
           1     2.34694    0.966114    0.966114           0
           1     2.37259    0.978738    0.978738           0
           1     2.39824    0.958714    0.958714           0
           1     2.42389    0.931955    0.931955           0
           1     2.44954    0.903491    0.903491           0
           1     2.47519    0.894593    0.894593           0
           1     2.50084    0.888933    0.888933           0
           1     2.52649    0.903637    0.903637           0
           1     2.55214    0.904562    0.904562           0
           2   0.0128248           0           0           0
           2   0.0384745           0           0           0
           2   0.0641241           0           0           0
           2   0.0897737           0           0           0
           2    0.115423           0           0           0
           2    0.141073           0           0           0
           2    0.166723           0           0           0
           2    0.192372           0           0           0
           2    0.218022           0           0           0
           2    0.243672           0           0           0
           2    0.269321           0           0           0
           2    0.294971           0           0           0
           2     0.32062           0           0           0
           2     0.34627           0           0           0
           2     0.37192           0           0           0
           2    0.397569           0           0           0
           2    0.423219           0           0           0
           2    0.448869           0           0           0
           2    0.474518           0           0           0
           2    0.500168           0           0           0
           2    0.525818           0           0           0
           2    0.551467           0           0           0
           2    0.577117           0           0           0
           2    0.602767           0           0           0
           2    0.628416           0           0           0
           2    0.654066           0           0           0
           2    0.679715           0           0           0
           2    0.705365           0           0           0
           2    0.731015           0           0           0
           2    0.756664           0           0           0
           2    0.782314           0           0           0
           2    0.807964           0           0           0
           2    0.833613           0           0           0
           2    0.859263           0           0           0
           2    0.884913  0.00339309  0.00215507 0.000875413
           2    0.910562   0.0293614   0.0264599  0.00205167
           2    0.936212    0.189343    0.168246    0.014918
           2    0.961861    0.558089    0.558593 0.000356757
           2    0.987511     1.20608     1.23101   0.0176263
           2     1.01316     1.88232     1.88901  0.00472426
           2     1.03881     2.31964     2.31638  0.00230575
           2     1.06446     2.50734     2.47232   0.0247607
           2     1.09011     2.52441      2.5045   0.0140801
           2     1.11576     2.39359     2.37479   0.0132974
           2     1.14141     2.36534     2.27077   0.0668652
           2     1.16706     2.09453     2.01863   0.0536684
           2     1.19271     1.74947     1.75949  0.00708574
           2     1.21836     1.55264     1.55443  0.00126574
           2     1.24401     1.41563     1.42389  0.00584075
           2     1.26966     1.26176      1.2774   0.0110568
           2     1.29531     1.12968     1.16452   0.0246363
           2     1.32096     1.01038      1.0374   0.0191053
           2     1.34661     0.93527    0.927964  0.00516669
           2     1.37226    0.804721    0.851038    0.032751
           2     1.39791    0.733714    0.761423   0.0195936
           2     1.42355     0.71981    0.760226   0.0285789
           2      1.4492    0.663952    0.699445   0.0250979
           2     1.47485    0.612732    0.668115   0.0391619
           2      1.5005    0.644082    0.669455   0.0179418
           2     1.52615      0.6787    0.677313 0.000981106
           2      1.5518    0.706134    0.676863   0.0206975
           2     1.57745    0.681164    0.683877   0.0019183
           2      1.6031    0.681059    0.672899  0.00576981
           2     1.62875    0.697623    0.690205  0.00524495
           2      1.6544    0.743644    0.710964    0.023108
           2     1.68005    0.732153    0.703364   0.0203569
           2      1.7057    0.756458    0.739352   0.0120957
           2     1.73135    0.790416    0.792944  0.00178725
           2       1.757    0.830365    0.835925  0.00393149
           2     1.78265    0.849195    0.869839   0.0145975
           2      1.8083    0.879347    0.911708    0.022883
           2     1.83395    0.928801    0.943876   0.0106594
           2      1.8596    0.995127    0.992271  0.00201914
           2     1.88525     1.07686     1.05054   0.0186099
           2      1.9109     1.11079     1.08079   0.0212079
