#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.30247     1.30247           0
           2     1.43042     1.36645    0.045236
           3     1.23342     1.32211     0.04712
           4     1.27753     1.31096   0.0366342
           5     1.52954     1.35468   0.0488642
           6     1.39614     1.36159    0.041206
           7     1.48541     1.37928   0.0389314
           8     1.33787      1.3741   0.0344073
           9      1.0992     1.34356   0.0420084
          10     1.60294     1.36949   0.0451102
          11      1.5005      1.3814   0.0425524
          12     1.51437     1.39248   0.0404234
          13     1.37116     1.39084   0.0373471
          14     1.35303     1.38814    0.034777
          15     1.29413     1.38188   0.0330185
          16     1.60457     1.39579    0.033761
          17     1.35835     1.39359   0.0318468
          18      1.4625     1.39742   0.0303068
          19     1.35936     1.39542   0.0287778
          20     1.35267     1.39328   0.0274182
          21     1.37454     1.39239   0.0261271
          22     1.28946     1.38771   0.0253549
          23       1.397     1.38811   0.0242557
          24     1.27437     1.38337   0.0237036
          25     1.39389     1.38379   0.0227592
          26     1.51749     1.38894   0.0224572
          27     1.20399     1.38209   0.0226461
          28     1.48896      1.3859   0.0221567
          29     1.27232     1.38199    0.021736
          30     1.34988     1.38092   0.0210378
          31     1.45583     1.38333   0.0204975
          32     1.44001      1.3851   0.0199333
          33     1.34933     1.38402   0.0193588
          34     1.45958     1.38624   0.0189165
          35      1.3113      1.3841   0.0184969
          36     1.23877     1.38006   0.0184183
          37      1.5001     1.38331    0.018204
          38     1.51129     1.38668   0.0180338
          39     1.52855     1.39031   0.0179345
          40     1.42114     1.39108   0.0175027
          41      1.5637     1.39529   0.0175749
          42     1.55428     1.39908   0.0175593
          43     1.38422     1.39873   0.0171544
          44     1.32994     1.39717   0.0168356
          45     1.34192     1.39594   0.0165062
          46     1.39274     1.39587   0.0161475
          47     1.40413     1.39605   0.0158049
          48     1.39668     1.39606   0.0154756
          49      1.5161     1.39851   0.0153525
          50     1.35343     1.39761   0.0150719
          51      1.4465     1.39857   0.0148068
          52     1.51265     1.40076   0.0146837
          53     1.45121     1.40172   0.0144375
          54     1.39175     1.40153   0.0141713
          55     1.55308     1.40429    0.014179
          56     1.27037     1.40189    0.014126
          57     1.42049     1.40222   0.0138819
          58     1.37092     1.40168   0.0136531
          59     1.38529      1.4014   0.0134245
          60      1.2546     1.39896   0.0134219
          61     1.43386     1.39953    0.013214
          62     1.46641     1.40061   0.0130448
          63     1.57565     1.40339   0.0131303
          64     1.54352     1.40558   0.0131065
          65     1.30936      1.4041   0.0129882
          66     1.41531     1.40427   0.0127925
          67      1.2092     1.40135   0.0129286
          68     1.41097      1.4015   0.0127392
          69     1.37834     1.40116    0.012559
          70     1.39281     1.40104   0.0123802
          71     1.43056     1.40146   0.0122128
          72     1.32323     1.40037   0.0120914
          73     1.23242     1.39807   0.0121427
          74     1.52441     1.39978    0.012098
          75     1.39861     1.39976   0.0119367
          76     1.17728     1.39683   0.0121333
          77     1.80049     1.40208   0.0130592
          78     1.45464     1.40275   0.0129092
          79     1.48276     1.40376   0.0127854
          80     1.38581     1.40354   0.0126276
          81     1.13589     1.40023   0.0128967
          82     1.19653     1.39775   0.0129765
          83     1.46516     1.39856   0.0128456
          84     1.37318     1.39826   0.0126962
          85     1.36491     1.39787   0.0125529
          86      1.1508     1.39499   0.0127314
          87     1.23694     1.39318   0.0127141
          88     1.32693     1.39242   0.0125918
          89     1.14793     1.38968   0.0127465
          90     1.20345     1.38761   0.0127717
          91     1.25024      1.3861   0.0127203
          92     1.46376     1.38694     0.01261
          93     1.72581     1.39059   0.0129902
          94     1.49982     1.39175   0.0129039
          95     1.34153     1.39122   0.0127789
          96     1.33926     1.39068   0.0126572
          97      1.2271     1.38899   0.0126386
          98     1.30947     1.38818   0.0125356
          99     1.31861     1.38748   0.0124287
         100     1.36474     1.38725   0.0123065
