#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45757    -5.45757           0
           2    -5.46006    -5.45881 0.000877663
           3    -5.48347    -5.46703  0.00673442
           4    -5.48482    -5.47148  0.00635144
           5    -5.44855    -5.46689  0.00652944
           6    -5.44035    -5.46247  0.00677611
           7    -5.43342    -5.45832  0.00696405
           8    -5.46123    -5.45868  0.00610303
           9    -5.49996    -5.46327  0.00693748
          10    -5.41269    -5.45821  0.00787437
          11    -5.43892    -5.45646  0.00735117
          12    -5.40438    -5.45212  0.00791648
          13    -5.46661    -5.45323  0.00738554
          14    -5.44702    -5.45279  0.00687132
          15    -5.46015    -5.45328  0.00643073
          16    -5.42121    -5.45128  0.00633347
          17    -5.45751    -5.45164   0.0059715
          18    -5.46546    -5.45241  0.00568891
          19     -5.4642    -5.45303  0.00542323
          20    -5.46675    -5.45372  0.00519528
          21    -5.44127    -5.45312  0.00498158
          22    -5.47601    -5.45416  0.00486251
          23    -5.47312    -5.45499  0.00472043
          24    -5.46926    -5.45558  0.00456106
          25    -5.46317    -5.45589  0.00438871
          26    -5.45188    -5.45573  0.00422262
          27    -5.47569    -5.45647  0.00413043
          28    -5.44896     -5.4562  0.00399161
          29    -5.48244    -5.45711  0.00395517
          30    -5.44264    -5.45663  0.00385263
          31     -5.4507    -5.45643   0.0037331
          32     -5.4334    -5.45572  0.00368516
          33    -5.47612    -5.45633  0.00362498
          34    -5.44408    -5.45597  0.00353624
          35    -5.44974    -5.45579  0.00343969
          36    -5.48631    -5.45664  0.00344702
          37    -5.44919    -5.45644  0.00335974
          38     -5.4481    -5.45622   0.0032785
          39    -5.43141    -5.45559  0.00325556
          40    -5.46701    -5.45587  0.00318667
          41    -5.47742     -5.4564    0.003152
          42    -5.43584    -5.45591  0.00311473
          43    -5.44738    -5.45571   0.0030486
          44    -5.47571    -5.45616    0.003013
          45    -5.47769    -5.45664  0.00298378
          46    -5.45535    -5.45661  0.00291905
          47    -5.45727    -5.45663  0.00285697
          48    -5.46059    -5.45671  0.00279864
          49    -5.43912    -5.45635  0.00276447
          50    -5.46254    -5.45647  0.00271195
          51    -5.43106    -5.45598  0.00270417
          52    -5.43437    -5.45556  0.00268391
          53    -5.43199    -5.45512  0.00266986
          54    -5.46183    -5.45524  0.00262331
          55    -5.42908    -5.45476  0.00261839
          56      -5.464    -5.45493  0.00257681
          57    -5.46262    -5.45506  0.00253514
          58    -5.44989    -5.45498    0.002493
          59    -5.45963    -5.45505  0.00245199
          60    -5.47139    -5.45533   0.0024262
          61    -5.44879    -5.45522  0.00238879
          62    -5.45892    -5.45528  0.00235101
          63    -5.42954    -5.45487  0.00234891
          64    -5.43039    -5.45449  0.00234315
          65    -5.48329    -5.45493  0.00234862
          66    -5.44974    -5.45485  0.00231436
          67    -5.48065    -5.45524  0.00231162
          68     -5.4393      -5.455  0.00228949
          69    -5.45871    -5.45506  0.00225694
          70    -5.46416    -5.45519  0.00222844
          71    -5.44853    -5.45509  0.00219903
          72    -5.47501    -5.45537  0.00218581
          73    -5.47605    -5.45565  0.00217416
          74    -5.43976    -5.45544  0.00215536
          75     -5.4507    -5.45538  0.00212755
          76    -5.49271    -5.45587  0.00215554
          77    -5.39958    -5.45514  0.00224807
          78    -5.44052    -5.45495  0.00222704
          79    -5.43509     -5.4547    0.002213
          80    -5.47033    -5.45489  0.00219395
          81    -5.50939    -5.45556  0.00226769
          82    -5.48638    -5.45594  0.00227097
          83    -5.43919    -5.45574  0.00225256
          84    -5.44703    -5.45564  0.00222813
          85    -5.45714    -5.45565  0.00220199
          86    -5.49872    -5.45615  0.00223261
          87    -5.47545    -5.45638  0.00221794
          88    -5.46334    -5.45645  0.00219415
          89    -5.48647    -5.45679  0.00219525
          90    -5.48032    -5.45705  0.00218637
          91    -5.48109    -5.45732  0.00217824
          92    -5.44383    -5.45717  0.00215949
          93    -5.39598    -5.45651  0.00223425
          94    -5.43761    -5.45631  0.00221952
          95    -5.46446     -5.4564  0.00219781
          96    -5.45435    -5.45638  0.00217502
          97    -5.49133    -5.45674  0.00218225
          98    -5.48319    -5.45701  0.00217661
          99    -5.46562    -5.45709  0.00215637
         100    -5.45988    -5.45712  0.00213498
