#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.49641    -5.49641           0
           2    -5.49911    -5.49776 0.000954474
           3    -5.50162    -5.49905  0.00122917
           4    -5.50393    -5.50027  0.00140309
           5    -5.50632    -5.50148   0.0015597
           6    -5.50907    -5.50274  0.00173889
           7     -5.5111    -5.50394  0.00185557
           8    -5.51284    -5.50505  0.00192893
           9    -5.51488    -5.50614   0.0020003
          10    -5.51705    -5.50723  0.00207635
          11    -5.51841    -5.50825  0.00212159
          12       -5.52    -5.50923  0.00215903
          13    -5.52075    -5.51012  0.00216734
          14     -5.5217    -5.51094  0.00216478
          15    -5.52223     -5.5117  0.00214719
          16    -5.52262    -5.51238  0.00211871
          17    -5.52301      -5.513  0.00208437
          18     -5.5228    -5.51355   0.0020384
          19    -5.52212      -5.514  0.00198045
          20    -5.52158    -5.51438  0.00191732
          21    -5.52056    -5.51467  0.00184845
          22    -5.51921    -5.51488   0.0017759
          23    -5.51739    -5.51499  0.00170203
          24    -5.51509    -5.51499  0.00163112
          25    -5.51278     -5.5149  0.00156826
          26    -5.51032    -5.51473  0.00151781
          27    -5.50741    -5.51446  0.00148559
          28    -5.50421    -5.51409   0.0014769
          29    -5.50029    -5.51361  0.00150073
          30    -5.49625    -5.51304  0.00155837
          31    -5.49272    -5.51238  0.00164016
          32    -5.48835    -5.51163  0.00175235
          33    -5.48378    -5.51079  0.00189156
          34    -5.47871    -5.50984  0.00205773
          35    -5.47378    -5.50881  0.00224216
          36    -5.46823    -5.50768  0.00244687
          37    -5.46286    -5.50647  0.00266382
          38    -5.45737    -5.50518  0.00289014
          39     -5.4521    -5.50382  0.00312008
          40    -5.44646    -5.50239  0.00335548
          41    -5.44092    -5.50089  0.00359297
          42    -5.43535    -5.49933  0.00383129
          43    -5.42978    -5.49771  0.00406931
          44    -5.42452    -5.49605   0.0043034
          45    -5.41884    -5.49433   0.0045369
          46    -5.41336    -5.49257   0.0047675
          47    -5.40796    -5.49077  0.00499441
          48    -5.40294    -5.48894  0.00521478
          49    -5.39773    -5.48708  0.00543043
          50    -5.39234    -5.48518  0.00564273
          51    -5.38708    -5.48326  0.00585077
          52    -5.38213    -5.48131  0.00605284
          53    -5.37735    -5.47935  0.00624843
          54    -5.37244    -5.47737  0.00643878
          55    -5.36847    -5.47539  0.00661918
          56    -5.36455    -5.47341  0.00679048
          57    -5.36023    -5.47143  0.00695563
          58    -5.35718    -5.46946  0.00710915
          59    -5.35314    -5.46749  0.00725685
          60    -5.34948    -5.46552  0.00739761
          61    -5.34696    -5.46358  0.00752734
          62    -5.34452    -5.46166  0.00764695
          63    -5.34186    -5.45975   0.0077584
          64    -5.33958    -5.45788  0.00786111
          65    -5.33785    -5.45603  0.00795409
          66    -5.33666    -5.45422  0.00803659
          67    -5.33465    -5.45244  0.00811238
          68    -5.33302    -5.45068  0.00818094
          69    -5.33209    -5.44896  0.00824095
          70    -5.33092    -5.44728  0.00829395
          71    -5.32999    -5.44562  0.00834003
          72    -5.32942    -5.44401   0.0083789
          73    -5.32967    -5.44244  0.00840925
          74    -5.32953    -5.44092  0.00843291
          75    -5.32973    -5.43944  0.00844977
          76    -5.32953    -5.43799  0.00846143
          77    -5.33057    -5.43659  0.00846577
          78    -5.33073    -5.43524  0.00846532
          79    -5.33153    -5.43392  0.00845934
          80    -5.33264    -5.43266  0.00844781
          81    -5.33408    -5.43144  0.00843072
          82    -5.33598    -5.43028   0.0084079
          83    -5.33744    -5.42916  0.00838067
          84    -5.33967    -5.42809  0.00834834
          85    -5.34146    -5.42707   0.0083121
          86    -5.34327     -5.4261  0.00827237
          87    -5.34571    -5.42518  0.00822873
          88    -5.34756    -5.42429  0.00818235
          89    -5.35036    -5.42346  0.00813247
          90    -5.35273    -5.42268     0.00808
          91    -5.35589    -5.42194  0.00802447
          92     -5.3591    -5.42126  0.00796626
          93    -5.36234    -5.42063  0.00790576
          94    -5.36592    -5.42004  0.00784304
          95    -5.36983    -5.41952  0.00777828
          96     -5.3733    -5.41903  0.00771214
          97    -5.37784    -5.41861  0.00764431
          98    -5.38206    -5.41824   0.0075754
          99    -5.38624    -5.41791  0.00750578
         100    -5.39081    -5.41764  0.00743561
         101     -5.3953    -5.41742  0.00736528
         102    -5.39935    -5.41724   0.0072952
         103      -5.404    -5.41712  0.00722551
         104     -5.4083    -5.41703  0.00715653
         105    -5.41283    -5.41699  0.00708848
         106    -5.41693    -5.41699  0.00702161
         107    -5.42117    -5.41703   0.0069561
         108    -5.42539    -5.41711  0.00689212
         109    -5.42953    -5.41722  0.00682983
         110    -5.43252    -5.41736  0.00676916
         111    -5.43539    -5.41752  0.00671012
         112    -5.43767     -5.4177  0.00665262
         113    -5.44024     -5.4179  0.00659674
         114    -5.44234    -5.41812  0.00654236
         115    -5.44425    -5.41834  0.00648941
         116    -5.44598    -5.41858  0.00643784
         117    -5.44767    -5.41883  0.00638762
         118    -5.44873    -5.41908  0.00633851
         119    -5.44944    -5.41934  0.00629038
         120    -5.44953    -5.41959  0.00624299
         121     -5.4493    -5.41984  0.00619622
         122    -5.44876    -5.42007  0.00614996
         123    -5.44823     -5.4203  0.00610422
         124    -5.44725    -5.42052  0.00605886
         125      -5.446    -5.42072  0.00601382
         126    -5.44435    -5.42091  0.00596901
         127    -5.44229    -5.42108  0.00592439
         128    -5.43986    -5.42123  0.00587992
         129    -5.43782    -5.42135  0.00583575
         130    -5.43587    -5.42147  0.00579193
         131    -5.43389    -5.42156  0.00574849
         132    -5.43082    -5.42163  0.00570537
         133    -5.42788    -5.42168  0.00566266
         134    -5.42494     -5.4217  0.00562046
         135      -5.422     -5.4217  0.00557883
         136    -5.41816    -5.42168  0.00553787
         137     -5.4148    -5.42163  0.00549767
         138    -5.41162    -5.42156  0.00545831
         139    -5.40816    -5.42146  0.00541989
         140      -5.404    -5.42133  0.00538261
         141    -5.39987    -5.42118  0.00534659
         142    -5.39535      -5.421  0.00531203
         143    -5.39058    -5.42079  0.00527914
         144    -5.38663    -5.42055  0.00524781
         145     -5.3823    -5.42029  0.00521825
         146    -5.37834       -5.42  0.00519041
         147    -5.37432    -5.41969  0.00516439
         148    -5.36948    -5.41935  0.00514063
         149     -5.3649    -5.41898   0.0051191
         150    -5.36029    -5.41859   0.0050999
         151    -5.35551    -5.41818  0.00508321
         152    -5.35073    -5.41773  0.00506909
         153    -5.34628    -5.41726  0.00505743
         154    -5.34202    -5.41678  0.00504814
         155    -5.33784    -5.41627  0.00504119
         156    -5.33346    -5.41574  0.00503674
         157    -5.32892    -5.41518  0.00503492
         158    -5.32471    -5.41461  0.00503551
         159    -5.32072    -5.41402  0.00503834
         160    -5.31743    -5.41342  0.00504289
         161    -5.31428     -5.4128  0.00504903
         162    -5.31161    -5.41218  0.00505635
         163    -5.30887    -5.41154  0.00506489
         164    -5.30699     -5.4109  0.00507397
         165    -5.30557    -5.41027  0.00508322
         166    -5.30417    -5.40963  0.00509262
         167    -5.30359    -5.40899  0.00510155
         168    -5.30369    -5.40836  0.00510955
         169    -5.30406    -5.40775  0.00511645
         170    -5.30483    -5.40714  0.00512205
         171    -5.30589    -5.40655   0.0051262
         172    -5.30783    -5.40598  0.00512843
         173    -5.31064    -5.40543  0.00512831
         174    -5.31371     -5.4049  0.00512585
         175    -5.31718     -5.4044  0.00512101
         176    -5.32147    -5.40393  0.00511355
         177    -5.32611    -5.40349  0.00510352
         178    -5.33182    -5.40308  0.00509071
         179    -5.33766    -5.40272  0.00507538
         180     -5.3436    -5.40239   0.0050578
         181    -5.35005     -5.4021  0.00503811
         182    -5.35652    -5.40185  0.00501665
         183    -5.36357    -5.40164   0.0049936
         184    -5.37102    -5.40147  0.00496923
         185    -5.37882    -5.40135  0.00494388
         186    -5.38589    -5.40127    0.004918
         187    -5.39369    -5.40123  0.00489186
         188    -5.40112    -5.40123  0.00486584
         189    -5.40907    -5.40127  0.00484027
         190    -5.41658    -5.40135  0.00481547
         191    -5.42469    -5.40147  0.00479181
         192    -5.43245    -5.40163  0.00476957
         193    -5.44015    -5.40183  0.00474903
         194    -5.44835    -5.40207   0.0047306
         195    -5.45566    -5.40235  0.00471431
         196    -5.46282    -5.40266  0.00470034
         197     -5.4695      -5.403  0.00468871
         198    -5.47688    -5.40337  0.00467986
         199    -5.48373    -5.40377  0.00467373
         200    -5.49019     -5.4042  0.00467029
         201    -5.49668    -5.40466  0.00466966
         202    -5.50303    -5.40515  0.00467187
         203    -5.50893    -5.40566  0.00467674
         204    -5.51451     -5.4062  0.00468415
         205     -5.5199    -5.40675  0.00469403
         206    -5.52526    -5.40733  0.00470636
         207    -5.52995    -5.40792  0.00472076
         208    -5.53412    -5.40852   0.0047369
         209    -5.53822    -5.40915   0.0047547
         210    -5.54178    -5.40978  0.00477383
         211     -5.5448    -5.41042  0.00479391
         212    -5.54728    -5.41106  0.00481456
         213     -5.5492    -5.41171  0.00483544
         214    -5.55118    -5.41236  0.00485657
         215    -5.55216    -5.41301  0.00487731
         216    -5.55349    -5.41366   0.0048979
         217    -5.55382    -5.41431  0.00491773
         218    -5.55436    -5.41495  0.00493696
         219    -5.55451    -5.41559  0.00495537
         220    -5.55368    -5.41622  0.00497244
         221    -5.55277    -5.41683  0.00498819
         222    -5.55104    -5.41744  0.00500221
         223    -5.54985    -5.41803   0.0050149
         224    -5.54755    -5.41861  0.00502573
         225    -5.54537    -5.41917  0.00503487
         226    -5.54285    -5.41972  0.00504225
         227    -5.53942    -5.42025  0.00504753
         228    -5.53583    -5.42076  0.00505079
         229    -5.53195    -5.42124  0.00505202
         230    -5.52795    -5.42171  0.00505131
         231    -5.52324    -5.42215  0.00504853
         232    -5.51904    -5.42256  0.00504402
         233    -5.51417    -5.42296  0.00503767
         234    -5.50925    -5.42332  0.00502962
         235      -5.504    -5.42367  0.00501992
         236     -5.4986    -5.42399  0.00500868
         237    -5.49305    -5.42428  0.00499602
         238    -5.48753    -5.42454  0.00498209
         239    -5.48223    -5.42478  0.00496709
         240    -5.47639      -5.425  0.00495104
         241    -5.47035    -5.42519  0.00493407
         242    -5.46412    -5.42535  0.00491631
         243    -5.45818    -5.42548  0.00489793
         244    -5.45287     -5.4256  0.00487914
         245    -5.44727    -5.42568  0.00486003
         246    -5.44143    -5.42575   0.0048407
         247    -5.43536    -5.42579  0.00482126
         248    -5.43029    -5.42581  0.00480185
         249    -5.42457     -5.4258  0.00478257
         250    -5.41897    -5.42577  0.00476351
         251    -5.41368    -5.42572  0.00474478
         252    -5.40854    -5.42566  0.00472644
         253    -5.40403    -5.42557  0.00470853
         254    -5.39956    -5.42547  0.00469111
         255    -5.39484    -5.42535  0.00467425
         256    -5.39063    -5.42521  0.00465796
         257    -5.38695    -5.42506  0.00464221
         258     -5.3829     -5.4249   0.0046271
         259     -5.3791    -5.42472  0.00461261
         260    -5.37602    -5.42454  0.00459867
         261    -5.37335    -5.42434  0.00458523
         262    -5.37049    -5.42413  0.00457233
         263    -5.36792    -5.42392  0.00455994
         264    -5.36564     -5.4237  0.00454801
         265    -5.36334    -5.42347  0.00453655
         266    -5.36164    -5.42324  0.00452544
         267    -5.36024      -5.423  0.00451464
         268    -5.35914    -5.42277  0.00450408
         269    -5.35833    -5.42253   0.0044937
         270    -5.35783    -5.42229  0.00448344
         271    -5.35821    -5.42205  0.00447313
         272    -5.35858    -5.42182  0.00446276
         273    -5.35878    -5.42159  0.00445239
         274    -5.35954    -5.42136  0.00444189
         275    -5.36057    -5.42114  0.00443124
         276      -5.362    -5.42092  0.00442036
         277    -5.36335    -5.42072  0.00440928
         278    -5.36522    -5.42052  0.00439794
         279    -5.36714    -5.42033  0.00438634
         280     -5.3694    -5.42014  0.00437444
         281    -5.37136    -5.41997  0.00436232
         282    -5.37393    -5.41981   0.0043499
         283    -5.37646    -5.41965  0.00433723
         284    -5.37941    -5.41951  0.00432427
         285    -5.38199    -5.41938   0.0043111
         286    -5.38478    -5.41926  0.00429772
         287    -5.38777    -5.41915  0.00428415
         288    -5.39019    -5.41905  0.00427045
         289    -5.39247    -5.41896  0.00425667
         290    -5.39489    -5.41887   0.0042428
