#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.32756     1.32756           0
           2     1.31771     1.32264   0.0034831
           3     1.30826     1.31785  0.00455007
           4     1.29928     1.31321  0.00527243
           5     1.29037     1.30864  0.00587219
           6     1.28111     1.30405   0.0064408
           7     1.27329     1.29966    0.006858
           8     1.26625     1.29548  0.00716019
           9     1.25911     1.29144  0.00741778
          10      1.2522     1.28751  0.00764361
          11     1.24704     1.28384  0.00778408
          12     1.24202     1.28035  0.00787682
          13     1.23889     1.27716  0.00789008
          14     1.23605     1.27422  0.00785408
          15      1.2345     1.27158   0.0077642
          16     1.23382     1.26922  0.00762912
          17     1.23382     1.26713  0.00745914
          18     1.23548     1.26538  0.00724907
          19     1.23861     1.26397  0.00700308
          20     1.24226     1.26288  0.00673648
          21     1.24741     1.26214  0.00645586
          22     1.25382     1.26177  0.00617349
          23     1.26173     1.26176  0.00590508
          24     1.27112     1.26215  0.00567189
          25     1.28125     1.26292  0.00549622
          26     1.29234     1.26405  0.00540003
          27     1.30482     1.26556  0.00540701
          28     1.31842     1.26745  0.00553362
          29     1.33381     1.26974  0.00579664
          30     1.34997     1.27241  0.00618976
          31     1.36589     1.27543  0.00668443
          32     1.38367     1.27881  0.00728124
          33     1.40226     1.28255  0.00796385
          34     1.42209     1.28665  0.00872324
          35     1.44211      1.2911  0.00953792
          36     1.46344     1.29588   0.0104053
          37     1.48482     1.30099   0.0113078
          38     1.50662      1.3064   0.0122368
          39      1.5283     1.31209   0.0131796
          40     1.55073     1.31806    0.014136
          41      1.5731     1.32428    0.015098
          42     1.59557     1.33074    0.016061
          43     1.61807     1.33742   0.0170209
          44     1.64003      1.3443   0.0179699
          45     1.66257     1.35137   0.0189112
          46     1.68465     1.35861   0.0198396
          47     1.70645     1.36601   0.0207519
          48     1.72741     1.37354   0.0216423
          49     1.74841     1.38119   0.0225123
          50     1.76941     1.38896   0.0233626
          51     1.78984     1.39682   0.0241907
          52     1.80942     1.40475   0.0249929
          53     1.82832     1.41274   0.0257675
          54     1.84699     1.42079   0.0265154
          55     1.86369     1.42884   0.0272287
          56     1.87983     1.43689   0.0279081
          57     1.89608     1.44495   0.0285575
          58     1.90978     1.45296    0.029168
          59      1.9245     1.46095   0.0297484
          60     1.93805     1.46891   0.0302967
          61      1.9492     1.47678   0.0308061
          62     1.95963     1.48457   0.0312782
          63     1.96981     1.49227   0.0317159
          64     1.97876     1.49987   0.0321184
          65     1.98625     1.50735   0.0324842
          66     1.99225      1.5147   0.0328123
          67     1.99895     1.52193    0.033109
          68     2.00441     1.52902   0.0333737
          69     2.00819     1.53597   0.0336048
          70     2.01172     1.54277    0.033805
          71     2.01432     1.54941    0.033975
          72     2.01575     1.55588   0.0341149
          73     2.01531     1.56218   0.0342232
          74     2.01496      1.5683   0.0343034
          75     2.01353     1.57423   0.0343558
          76     2.01223        1.58   0.0343837
          77     2.00846     1.58556   0.0343845
          78      2.0056     1.59095   0.0343628
          79     2.00128     1.59614   0.0343181
          80       1.996     1.60114   0.0342512
          81     1.98978     1.60594   0.0341628
          82     1.98239     1.61053   0.0340532
          83     1.97529     1.61492   0.0339254
          84     1.96656     1.61911   0.0337788
          85     1.95813      1.6231    0.033616
          86     1.94927     1.62689   0.0334384
          87     1.93902     1.63048    0.033246
          88      1.9293     1.63387   0.0330411
          89     1.91771     1.63706   0.0328234
          90     1.90639     1.64005   0.0325949
          91     1.89342     1.64284   0.0323554
          92     1.88002     1.64542   0.0321062
          93     1.86619     1.64779   0.0318486
          94     1.85147     1.64996   0.0315835
          95     1.83591     1.65191   0.0313116
          96     1.82075     1.65367   0.0310348
          97     1.80363     1.65522   0.0307533
          98      1.7868     1.65656   0.0304688
          99     1.76988     1.65771   0.0301825
         100     1.75223     1.65865   0.0298955
         101      1.7347      1.6594    0.029609
         102     1.71788     1.65998   0.0293243
         103     1.70022     1.66037   0.0290422
         104      1.6833     1.66059   0.0287637
         105     1.66629     1.66064   0.0284898
         106     1.65029     1.66055   0.0282212
         107     1.63448      1.6603   0.0279585
         108      1.6192     1.65992   0.0277023
         109     1.60458     1.65941   0.0274528
         110      1.5924      1.6588     0.02721
         111     1.58107      1.6581   0.0269738
         112     1.57139     1.65733   0.0267441
         113     1.56197     1.65649   0.0265207
         114     1.55407     1.65559   0.0263033
         115     1.54724     1.65465   0.0260915
         116      1.5415     1.65367   0.0258848
         117     1.53661     1.65267   0.0256828
         118     1.53354     1.65166    0.025485
         119     1.53178     1.65065   0.0252908
         120     1.53179     1.64966   0.0250994
         121     1.53306      1.6487   0.0249105
         122     1.53554     1.64777   0.0247235
         123     1.53872     1.64688   0.0245384
         124     1.54326     1.64605   0.0243548
         125     1.54887     1.64527   0.0241723
         126     1.55574     1.64456   0.0239909
         127      1.5638     1.64392   0.0238104
         128       1.573     1.64337   0.0236309
         129     1.58209      1.6429   0.0234525
         130     1.59148      1.6425   0.0232754
         131     1.60137     1.64219   0.0230998
         132     1.61339     1.64197   0.0229259
         133     1.62555     1.64184   0.0227538
         134     1.63807     1.64182    0.022584
         135     1.65089     1.64188   0.0224169
         136     1.66543     1.64206   0.0222527
         137     1.67945     1.64233   0.0220919
         138     1.69342      1.6427   0.0219349
         139     1.70801     1.64317   0.0217822
         140     1.72393     1.64375   0.0216342
         141     1.73993     1.64443   0.0214915
         142     1.75671     1.64522   0.0213547
         143     1.77399     1.64612   0.0212244
         144     1.79005     1.64712   0.0211005
         145      1.8068     1.64822   0.0209837
         146     1.82298     1.64942   0.0208741
         147     1.83928     1.65071    0.020772
         148     1.85687      1.6521   0.0206783
         149     1.87401     1.65359   0.0205931
         150     1.89111     1.65517   0.0205166
         151     1.90836     1.65685   0.0204491
         152     1.92544     1.65862   0.0203908
         153      1.9418     1.66047   0.0203414
         154     1.95756      1.6624   0.0203005
         155     1.97288      1.6644   0.0202682
         156     1.98811     1.66648   0.0202442
         157     2.00313     1.66862   0.0202285
         158      2.0171     1.67083   0.0202203
         159     2.03011     1.67309    0.020219
         160      2.0413     1.67539   0.0202232
         161     2.05149     1.67772    0.020232
         162     2.06006     1.68008   0.0202443
         163     2.06782     1.68246   0.0202594
         164      2.0732     1.68485   0.0202755
         165     2.07679     1.68722   0.0202913
         166     2.07921     1.68958    0.020306
         167     2.07914     1.69191   0.0203179
         168     2.07675     1.69421   0.0203257
         169     2.07269     1.69644   0.0203284
         170     2.06669     1.69862   0.0203252
         171     2.05896     1.70073   0.0203153
         172     2.04855     1.70275   0.0202976
         173     2.03548     1.70468   0.0202712
         174     2.02076     1.70649   0.0202359
         175     2.00421     1.70819   0.0201916
         176     1.98521     1.70977   0.0201382
         177     1.96457     1.71121   0.0200758
         178     1.94121      1.7125   0.0200045
         179     1.91669     1.71364   0.0199253
         180     1.89115     1.71463    0.019839
         181     1.86403     1.71545   0.0197465
         182     1.83617     1.71611   0.0196492
         183     1.80679     1.71661    0.019548
         184     1.77626     1.71693   0.0194445
         185     1.74473     1.71708     0.01934
         186     1.71404     1.71707    0.019236
         187     1.68193     1.71688    0.019134
         188     1.65022     1.71653   0.0190355
         189     1.61762       1.716    0.018942
         190     1.58568     1.71532   0.0188547
         191     1.55287     1.71447   0.0187752
         192     1.52074     1.71346   0.0187045
         193     1.48893     1.71229   0.0186437
         194     1.45659     1.71098   0.0185942
         195     1.42601     1.70951   0.0185561
         196     1.39607     1.70791   0.0185303
         197     1.36737     1.70619   0.0185166
         198     1.33806     1.70433   0.0185162
         199     1.31016     1.70235   0.0185288
         200     1.28352     1.70025   0.0185541
         201      1.2575     1.69805   0.0185921
         202     1.23241     1.69574   0.0186424
         203      1.2088     1.69335   0.0187043
         204     1.18649     1.69086   0.0187769
         205      1.1653      1.6883   0.0188595
         206     1.14503     1.68566   0.0189515
         207      1.1267     1.68296   0.0190513
         208     1.11011     1.68021   0.0191578
         209     1.09456      1.6774   0.0192699
         210     1.08081     1.67456   0.0193865
         211     1.06888     1.67169   0.0195059
         212      1.0588      1.6688    0.019627
         213     1.05056      1.6659   0.0197483
         214     1.04322     1.66299   0.0198692
         215     1.03845     1.66008    0.019988
         216      1.0341     1.65719   0.0201045
         217     1.03231     1.65431    0.020217
         218     1.03115     1.65145   0.0203254
         219     1.03157     1.64862   0.0204287
         220      1.0345     1.64583   0.0205256
         221     1.03847     1.64308   0.0206159
         222     1.04466     1.64038   0.0206985
         223     1.05086     1.63774   0.0207739
         224     1.05969     1.63516   0.0208408
         225     1.06917     1.63264   0.0208994
         226     1.07997      1.6302   0.0209495
         227     1.09301     1.62783   0.0209905
         228     1.10704     1.62555   0.0210223
         229     1.12222     1.62335   0.0210451
         230     1.13826     1.62124    0.021059
         231     1.15605     1.61923   0.0210639
         232     1.17359      1.6173   0.0210605
         233     1.19274     1.61548   0.0210488
         234     1.21245     1.61376   0.0210292
         235     1.23312     1.61214    0.021002
         236     1.25443     1.61062   0.0209677
         237     1.27629     1.60921   0.0209266
         238     1.29839     1.60791   0.0208794
         239     1.32039      1.6067   0.0208266
         240     1.34341     1.60561   0.0207687
         241     1.36688     1.60462   0.0207062
         242     1.39072     1.60373   0.0206395
         243     1.41411     1.60295   0.0205693
         244     1.43649     1.60227   0.0204963
         245     1.45922     1.60169   0.0204209
         246     1.48222      1.6012   0.0203437
         247      1.5054     1.60081    0.020265
         248     1.52676     1.60051   0.0201855
         249     1.54888     1.60031   0.0201055
         250     1.57048     1.60019   0.0200255
         251     1.59124     1.60015   0.0199457
         252     1.61134      1.6002   0.0198666
         253     1.63001     1.60031   0.0197884
         254     1.64813      1.6005   0.0197114
         255     1.66615     1.60076   0.0196358
         256     1.68281     1.60108   0.0195617
         257     1.69805     1.60146   0.0194892
         258     1.71326     1.60189   0.0194185
         259     1.72746     1.60238   0.0193496
         260     1.73986     1.60291   0.0192824
         261     1.75093     1.60347   0.0192168
         262     1.76159     1.60408    0.019153
         263     1.77109     1.60471   0.0190907
         264      1.7794     1.60537   0.0190298
         265       1.787     1.60606   0.0189704
         266     1.79289     1.60676    0.018912
         267     1.79756     1.60747   0.0188547
         268     1.80099      1.6082   0.0187982
         269     1.80319     1.60892   0.0187423
         270     1.80417     1.60964   0.0186868
         271     1.80298     1.61036   0.0186314
         272     1.80109     1.61106   0.0185761
         273     1.79876     1.61175   0.0185208
         274     1.79483     1.61242   0.0184653
         275     1.78981     1.61306   0.0184094
         276     1.78353     1.61368    0.018353
         277     1.77675     1.61427   0.0182962
         278     1.76857     1.61482   0.0182388
