#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       2.961       2.961           0
           2     2.96089     2.96095 3.76776e-05
           3     2.96057     2.96082 0.000104479
           4     2.96004     2.96063 0.000186217
           5      2.9593     2.96036 0.000280712
           6     2.95834     2.96002 0.000386611
           7     2.95716     2.95962 0.000503031
           8     2.95577     2.95913  0.00062937
           9     2.95415     2.95858 0.000765223
          10     2.95231     2.95795 0.000910321
          11     2.95023     2.95725  0.00106451
          12     2.94791     2.95647   0.0012277
          13     2.94535     2.95562   0.0013999
          14     2.94254     2.95468  0.00158107
          15     2.93947     2.95367  0.00177127
          16     2.93613     2.95257  0.00197067
          17     2.93252     2.95139  0.00217941
          18     2.92862     2.95013  0.00239762
          19     2.92442     2.94878  0.00262556
          20     2.91991     2.94733  0.00286355
          21     2.91508      2.9458  0.00311191
          22     2.90991     2.94417  0.00337101
          23     2.90438     2.94244  0.00364122
          24     2.89849      2.9406  0.00392291
          25     2.89222     2.93867  0.00421649
          26     2.88555     2.93663  0.00452236
          27     2.87845     2.93447  0.00484096
          28     2.87093      2.9322  0.00517276
          29     2.86294     2.92981  0.00551823
          30     2.85449      2.9273  0.00587781
          31     2.84554     2.92467  0.00625196
          32     2.83608      2.9219  0.00664121
          33     2.82609     2.91899  0.00704603
          34     2.81554     2.91595  0.00746697
          35      2.8044     2.91276  0.00790457
          36     2.79267     2.90943  0.00835938
          37     2.78031     2.90594  0.00883188
          38     2.76731     2.90229  0.00932255
          39     2.75364     2.89848  0.00983181
          40      2.7393      2.8945   0.0103601
          41     2.72426     2.89035   0.0109078
          42      2.7085     2.88602   0.0114752
          43     2.69201     2.88151   0.0120627
          44     2.67478     2.87681   0.0126705
          45     2.65679     2.87192   0.0132989
          46     2.63804     2.86683   0.0139478
          47     2.61852     2.86155   0.0146175
          48     2.59823     2.85607   0.0153078
          49     2.57718     2.85037   0.0160185
          50     2.55538     2.84447   0.0167495
          51     2.53283     2.83836   0.0175002
          52     2.50956     2.83204   0.0182703
          53     2.48559      2.8255   0.0190591
          54     2.46095     2.81875   0.0198659
          55     2.43567     2.81179   0.0206897
          56     2.40979     2.80461   0.0215296
          57     2.38336     2.79722   0.0223844
          58     2.35642     2.78962   0.0232528
          59     2.32903     2.78181   0.0241336
          60     2.30125      2.7738   0.0250252
          61     2.27313     2.76559    0.025926
          62     2.24474     2.75719   0.0268344
          63     2.21614     2.74861   0.0277488
          64      2.1874     2.73984   0.0286673
          65     2.15858     2.73089   0.0295881
          66     2.12975     2.72179   0.0305095
          67     2.10098     2.71252   0.0314297
          68     2.07232     2.70311   0.0323469
          69     2.04385     2.69355   0.0332592
          70     2.01562     2.68387    0.034165
          71      1.9877     2.67406   0.0350626
          72     1.96013     2.66415   0.0359504
          73     1.93298     2.65413   0.0368267
          74     1.90629     2.64402   0.0376902
          75     1.88013     2.63384   0.0385393
          76     1.85454     2.62358   0.0393727
          77     1.82958     2.61327    0.040189
          78     1.80528     2.60291    0.040987
          79     1.78171     2.59252   0.0417656
          80      1.7589      2.5821   0.0425235
          81     1.73691     2.57166   0.0432598
          82     1.71578     2.56123   0.0439734
          83     1.69556      2.5508   0.0446634
          84     1.67628     2.54039   0.0453288
          85     1.65799     2.53001   0.0459689
          86     1.64072     2.51966   0.0465829
          87     1.62453     2.50938     0.04717
          88     1.60943     2.49915   0.0477297
          89     1.59545       2.489   0.0482614
          90     1.58263     2.47892   0.0487646
          91     1.57098     2.46895   0.0492388
          92     1.56051     2.45907   0.0496839
          93     1.55124     2.44931   0.0500994
          94     1.54315     2.43967   0.0504854
          95     1.53624     2.43016   0.0508417
          96     1.53049     2.42079   0.0511686
          97     1.52586     2.41156   0.0514661
          98     1.52233     2.40249   0.0517346
          99     1.51985     2.39357   0.0519746
         100     1.51835     2.38482   0.0521866
         101     1.51779     2.37624   0.0523712
         102     1.51808     2.36782   0.0525292
         103     1.51916     2.35958   0.0526614
         104     1.52094     2.35152   0.0527688
         105     1.52335     2.34363   0.0528524
         106     1.52631     2.33592   0.0529133
         107     1.52972     2.32839   0.0529525
         108     1.53352     2.32103   0.0529712
         109     1.53761     2.31384   0.0529706
         110     1.54193     2.30682   0.0529518
         111      1.5464     2.29997   0.0529161
         112     1.55096     2.29329   0.0528645
         113     1.55555     2.28676   0.0527983
         114     1.56012     2.28038   0.0527185
         115     1.56462     2.27416   0.0526262
         116     1.56901     2.26808   0.0525224
         117     1.57326     2.26214   0.0524082
         118     1.57734     2.25634   0.0522844
         119     1.58124     2.25066   0.0521519
         120     1.58494     2.24512   0.0520115
         121     1.58844     2.23969    0.051864
         122     1.59172     2.23438   0.0517102
         123     1.59479     2.22918   0.0515505
         124     1.59765     2.22409   0.0513858
         125     1.60032      2.2191   0.0512164
         126     1.60279      2.2142    0.051043
         127     1.60509     2.20941   0.0508659
         128     1.60722      2.2047   0.0506856
         129     1.60921     2.20009   0.0505025
         130     1.61106     2.19556   0.0503168
         131      1.6128     2.19111    0.050129
         132     1.61443     2.18674   0.0499392
         133     1.61598     2.18245   0.0497478
         134     1.61745     2.17823   0.0495549
         135     1.61887     2.17409   0.0493607
         136     1.62024     2.17002   0.0491655
         137     1.62156     2.16601   0.0489693
         138     1.62286     2.16208   0.0487724
         139     1.62412     2.15821   0.0485748
         140     1.62537      2.1544   0.0483768
         141     1.62659     2.15066   0.0481783
