#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79299    -6.79299           0
           2    -6.79267    -6.79283 0.000112911
           3    -6.79214     -6.7926 0.000202689
           4    -6.79139    -6.79229 0.000302078
           5    -6.79043    -6.79192 0.000411693
           6    -6.78926    -6.79148 0.000531232
           7    -6.78786    -6.79096 0.000660341
           8    -6.78624    -6.79037 0.000798742
           9     -6.7844    -6.78971 0.000946244
          10    -6.78232    -6.78897  0.00110274
          11    -6.78001    -6.78816  0.00126818
          12    -6.77745    -6.78726  0.00144259
          13    -6.77434    -6.78627  0.00163887
          14    -6.77127     -6.7852  0.00183901
          15    -6.76778    -6.78404  0.00205053
          16    -6.76371    -6.78277  0.00228214
          17    -6.75936    -6.78139  0.00252937
          18    -6.75486    -6.77991  0.00278531
          19    -6.75005    -6.77834  0.00305017
          20    -6.74476    -6.77666  0.00332783
          21    -6.73944    -6.77489  0.00361067
          22    -6.73332      -6.773  0.00390997
          23    -6.72697      -6.771  0.00422119
          24    -6.71994    -6.76887  0.00454989
          25    -6.71267    -6.76662  0.00489191
          26    -6.70482    -6.76425   0.0052496
          27    -6.69669    -6.76175  0.00561989
          28     -6.6878    -6.75911  0.00600767
          29    -6.67875    -6.75633  0.00640776
          30    -6.66905    -6.75342  0.00682284
          31    -6.65868    -6.75037  0.00725501
          32    -6.64763    -6.74716  0.00770598
          33    -6.63648     -6.7438  0.00816981
          34    -6.62489    -6.74031  0.00864577
          35     -6.6127    -6.73666  0.00913514
          36     -6.6002    -6.73287  0.00963582
          37    -6.58644    -6.72891   0.0101556
          38    -6.57218    -6.72479   0.0106932
          39    -6.55724    -6.72049    0.011249
          40    -6.54099      -6.716    0.011829
          41    -6.52448    -6.71133   0.0124287
          42    -6.50738    -6.70648    0.013047
          43     -6.4897    -6.70144   0.0136829
          44    -6.47126     -6.6962   0.0143372
          45     -6.4522    -6.69078   0.0150089
          46    -6.43254    -6.68517   0.0156975
          47    -6.41255    -6.67937   0.0164002
          48    -6.39165    -6.67337   0.0171189
          49    -6.36985    -6.66718   0.0178551
          50    -6.34715    -6.66078   0.0186099
          51    -6.32388    -6.65417    0.019382
          52    -6.29961    -6.64735    0.020173
          53    -6.27466    -6.64032   0.0209822
          54    -6.24953    -6.63309    0.021806
          55     -6.2232    -6.62563   0.0226472
          56    -6.19737    -6.61799   0.0234986
          57    -6.17088    -6.61014   0.0243603
          58    -6.14319    -6.60209   0.0252357
          59     -6.1151    -6.59384    0.026123
          60    -6.08758     -6.5854   0.0270159
          61    -6.05919    -6.57677   0.0279163
          62    -6.03043    -6.56796   0.0288233
          63    -6.00153    -6.55897    0.029735
          64    -5.97347    -6.54982   0.0306454
          65    -5.94464    -6.54051   0.0315566
          66    -5.91632    -6.53105   0.0324648
          67    -5.88736    -6.52145   0.0333715
          68    -5.85888     -6.5117   0.0342737
          69    -5.83095    -6.50184   0.0351683
          70    -5.80332    -6.49186   0.0360538
          71    -5.77545    -6.48177    0.036931
          72    -5.74875    -6.47159   0.0377953
          73    -5.72237    -6.46132   0.0386459
          74    -5.69575    -6.45098   0.0394841
          75    -5.66986    -6.44056   0.0403079
          76    -5.64549     -6.4301   0.0411127
          77     -5.6215     -6.4196   0.0418985
          78    -5.59837    -6.40907   0.0426637
          79    -5.57542    -6.39852   0.0434091
          80    -5.55373    -6.38796   0.0441322
          81    -5.53289     -6.3774   0.0448321
          82    -5.51282    -6.36686   0.0455083
          83    -5.49384    -6.35634   0.0461596
          84    -5.47539    -6.34585   0.0467863
          85    -5.45768     -6.3354   0.0473883
          86    -5.44178    -6.32501    0.047963
          87    -5.42713    -6.31469   0.0485094
          88    -5.41316    -6.30445    0.049028
          89    -5.40064    -6.29429   0.0495177
          90    -5.38914    -6.28424   0.0499784
          91    -5.37912    -6.27429   0.0504092
          92       -5.37    -6.26446   0.0508105
          93    -5.36267    -6.25476   0.0511811
          94    -5.35545     -6.2452    0.051523
          95    -5.34985    -6.23577   0.0518355
          96    -5.34523    -6.22649    0.052119
          97     -5.3417    -6.21737   0.0523738
          98    -5.33892    -6.20841   0.0526008
          99    -5.33728    -6.19961   0.0528004
         100    -5.33672    -6.19098   0.0529728
         101    -5.33732    -6.18253   0.0531183
         102     -5.3387    -6.17426   0.0532379
         103    -5.34079    -6.16616   0.0533324
         104    -5.34291    -6.15825   0.0534038
         105    -5.34617    -6.15051   0.0534523
         106    -5.34913    -6.14295     0.05348
         107    -5.35309    -6.13557   0.0534873
         108    -5.35734    -6.12837   0.0534752
         109    -5.36226    -6.12134   0.0534445
         110    -5.36644    -6.11448   0.0533974
         111     -5.3716    -6.10778   0.0533341
         112    -5.37665    -6.10125   0.0532559
         113    -5.38107    -6.09488   0.0531646
         114    -5.38557    -6.08866   0.0530611
         115    -5.38996    -6.08258   0.0529464
         116    -5.39406    -6.07665   0.0528216
         117    -5.39845    -6.07085   0.0526873
         118     -5.4022    -6.06518   0.0525446
         119     -5.4062    -6.05965    0.052394
         120    -5.40985    -6.05423   0.0522365
         121    -5.41328    -6.04894   0.0520727
         122     -5.4162    -6.04375   0.0519035
         123    -5.41906    -6.03867   0.0517294
         124    -5.42157    -6.03369    0.051551
         125    -5.42465    -6.02882   0.0513684
         126    -5.42725    -6.02405   0.0511821
         127    -5.42954    -6.01937   0.0509927
         128    -5.43137    -6.01477   0.0508008
         129    -5.43337    -6.01026   0.0506065
         130     -5.4345    -6.00584   0.0504107
         131    -5.43628    -6.00149    0.050213
         132    -5.43813    -5.99722   0.0500136
         133    -5.43976    -5.99303   0.0498129
         134    -5.44087    -5.98891   0.0496113
         135    -5.44209    -5.98486   0.0494089
         136    -5.44326    -5.98088   0.0492058
         137     -5.4444    -5.97696   0.0490022
         138    -5.44537    -5.97311   0.0487983
         139    -5.44676    -5.96932    0.048594
         140    -5.44783     -5.9656   0.0483894
         141    -5.44948    -5.96194   0.0481845
         142    -5.45051    -5.95833   0.0479795
         143    -5.45166    -5.95479   0.0477747
         144    -5.45323    -5.95131   0.0475697
         145    -5.45416    -5.94788    0.047365
         146    -5.45506     -5.9445   0.0471607
         147    -5.45593    -5.94118   0.0469569
         148    -5.45705    -5.93791   0.0467534
         149    -5.45752    -5.93468   0.0465507
         150    -5.45855    -5.93151   0.0463484
         151    -5.45937    -5.92838   0.0461468
         152    -5.46015     -5.9253   0.0459459
         153    -5.46119    -5.92227   0.0457457
         154    -5.46218    -5.91928   0.0455461
         155    -5.46284    -5.91634   0.0453473
         156    -5.46303    -5.91343   0.0451496
         157    -5.46365    -5.91057   0.0449529
         158    -5.46412    -5.90774   0.0447571
         159    -5.46491    -5.90496   0.0445621
         160    -5.46556    -5.90221   0.0443682
         161     -5.4661     -5.8995   0.0441752
         162     -5.4679    -5.89684   0.0439828
         163      -5.469    -5.89421   0.0437912
         164    -5.46987    -5.89162   0.0436005
         165    -5.47081    -5.88907   0.0434108
         166    -5.47213    -5.88656   0.0432219
         167    -5.47367    -5.88409   0.0430338
         168    -5.47499    -5.88166   0.0428464
         169    -5.47636    -5.87926     0.04266
         170    -5.47793     -5.8769   0.0424743
         171    -5.47864    -5.87457   0.0422897
         172    -5.47981    -5.87227   0.0421061
         173    -5.48127    -5.87001   0.0419233
         174    -5.48225    -5.86778   0.0417416
         175    -5.48363    -5.86559   0.0415607
         176    -5.48447    -5.86342    0.041381
         177    -5.48566    -5.86129   0.0412022
         178    -5.48702    -5.85919   0.0410243
         179    -5.48748    -5.85711   0.0408476
         180    -5.48775    -5.85506   0.0406722
         181    -5.48799    -5.85303    0.040498
         182    -5.48787    -5.85102   0.0403252
         183    -5.48815    -5.84904   0.0401536
         184    -5.48775    -5.84708   0.0399833
         185    -5.48698    -5.84513   0.0398145
         186    -5.48583     -5.8432   0.0396473
         187    -5.48477    -5.84128   0.0394816
         188    -5.48336    -5.83938   0.0393175
         189     -5.4822    -5.83749   0.0391548
         190    -5.48057    -5.83561   0.0389938
         191    -5.47863    -5.83374   0.0388344
         192      -5.477    -5.83188   0.0386766
         193    -5.47494    -5.83003   0.0385204
         194    -5.47204    -5.82819    0.038366
         195    -5.46967    -5.82635   0.0382133
         196    -5.46725    -5.82452   0.0380622
         197    -5.46511    -5.82269   0.0379127
         198    -5.46326    -5.82088   0.0377646
         199    -5.46128    -5.81907   0.0376181
         200    -5.45904    -5.81727    0.037473
         201    -5.45715    -5.81548   0.0373294
         202    -5.45549     -5.8137   0.0371871
         203    -5.45362    -5.81192   0.0370462
         204    -5.45155    -5.81016   0.0369067
         205     -5.4496     -5.8084   0.0367686
         206     -5.4481    -5.80665   0.0366316
         207    -5.44643    -5.80491    0.036496
         208    -5.44538    -5.80318   0.0363614
         209    -5.44389    -5.80146   0.0362281
         210    -5.44318    -5.79975   0.0360957
         211     -5.4419    -5.79806   0.0359645
         212    -5.44127    -5.79638   0.0358342
         213    -5.44131    -5.79471   0.0357047
         214    -5.44141    -5.79306    0.035576
         215    -5.44219    -5.79143   0.0354479
         216      -5.442    -5.78981   0.0353207
         217    -5.44297    -5.78821   0.0351941
         218    -5.44361    -5.78663   0.0350681
         219    -5.44451    -5.78507   0.0349428
         220    -5.44571    -5.78352    0.034818
         221     -5.4472      -5.782   0.0346937
         222    -5.44961     -5.7805   0.0345697
         223    -5.45172    -5.77903   0.0344461
         224    -5.45459    -5.77758   0.0343228
         225    -5.45794    -5.77616   0.0341996
         226    -5.46099    -5.77477   0.0340767
         227    -5.46511     -5.7734   0.0339539
         228    -5.46846    -5.77207   0.0338313
         229    -5.47254    -5.77076   0.0337088
         230    -5.47718    -5.76948   0.0335864
         231    -5.48145    -5.76823   0.0334642
         232    -5.48668    -5.76702   0.0333419
         233    -5.49209    -5.76584   0.0332197
         234    -5.49749    -5.76469   0.0330975
         235    -5.50329    -5.76358   0.0329754
         236    -5.50884     -5.7625   0.0328533
         237    -5.51412    -5.76145   0.0327314
         238    -5.51954    -5.76044   0.0326096
         239     -5.5249    -5.75945   0.0324881
         240    -5.53002     -5.7585   0.0323668
         241    -5.53532    -5.75757   0.0322457
         242    -5.54063    -5.75667   0.0321249
         243    -5.54605    -5.75581   0.0320044
         244    -5.55082    -5.75497   0.0318843
         245     -5.5552    -5.75415   0.0317646
         246    -5.55995    -5.75336   0.0316453
         247    -5.56353    -5.75259   0.0315265
         248     -5.5673    -5.75185   0.0314082
         249    -5.57035    -5.75112   0.0312905
         250    -5.57312    -5.75041   0.0311735
         251    -5.57592    -5.74971    0.031057
         252     -5.5786    -5.74903   0.0309412
         253    -5.58086    -5.74837    0.030826
         254    -5.58257    -5.74771   0.0307116
         255    -5.58448    -5.74707   0.0305978
         256    -5.58615    -5.74644   0.0304847
         257     -5.5876    -5.74583   0.0303724
         258    -5.58883    -5.74522   0.0302608
         259    -5.59002    -5.74462   0.0301499
         260    -5.59042    -5.74403   0.0300397
         261    -5.59095    -5.74344   0.0299304
         262    -5.59117    -5.74286   0.0298218
         263    -5.59124    -5.74228   0.0297139
         264    -5.59103    -5.74171   0.0296069
         265    -5.59085    -5.74114   0.0295007
         266    -5.59056    -5.74057   0.0293952
         267    -5.59032    -5.74001   0.0292905
         268    -5.59015    -5.73945   0.0291865
         269    -5.58989     -5.7389   0.0290833
         270    -5.58956    -5.73834   0.0289809
         271    -5.58917    -5.73779   0.0288792
         272    -5.58812    -5.73724   0.0287782
         273    -5.58761    -5.73669    0.028678
         274    -5.58691    -5.73615   0.0285786
         275    -5.58601     -5.7356   0.0284799
         276    -5.58492    -5.73506   0.0283819
         277    -5.58364    -5.73451   0.0282847
         278    -5.58217    -5.73396   0.0281883
         279    -5.58157    -5.73341   0.0280925
         280    -5.58108    -5.73287   0.0279975
