#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.974       1.974           0
           2     1.97393     1.97396 2.51184e-05
           3     1.97372     1.97388 6.96529e-05
           4     1.97336     1.97375 0.000124145
           5     1.97286     1.97357 0.000187141
           6     1.97223     1.97335 0.000257741
           7     1.97144     1.97308 0.000335354
           8     1.97051     1.97276  0.00041958
           9     1.96943     1.97239 0.000510149
          10      1.9682     1.97197 0.000606881
          11     1.96682      1.9715 0.000709671
          12     1.96528     1.97098 0.000818468
          13     1.96357     1.97041 0.000933268
          14     1.96169     1.96979  0.00105405
          15     1.95965     1.96911  0.00118084
          16     1.95742     1.96838  0.00131378
          17     1.95501      1.9676  0.00145294
          18     1.95241     1.96675  0.00159841
          19     1.94961     1.96585  0.00175038
          20     1.94661     1.96489  0.00190904
          21     1.94339     1.96386  0.00207461
          22     1.93994     1.96278  0.00224734
          23     1.93626     1.96162  0.00242748
          24     1.93233      1.9604  0.00261527
          25     1.92815     1.95911  0.00281099
          26      1.9237     1.95775  0.00301491
          27     1.91897     1.95631  0.00322731
          28     1.91395      1.9548  0.00344851
          29     1.90863     1.95321  0.00367882
          30     1.90299     1.95154  0.00391854
          31     1.89703     1.94978  0.00416798
          32     1.89072     1.94793  0.00442747
          33     1.88406       1.946  0.00469735
          34     1.87703     1.94397  0.00497798
          35      1.8696     1.94184  0.00526971
          36     1.86178     1.93962  0.00557292
          37     1.85354     1.93729  0.00588792
          38     1.84487     1.93486  0.00621503
          39     1.83576     1.93232  0.00655454
          40      1.8262     1.92967  0.00690673
          41     1.81617      1.9269  0.00727185
          42     1.80567     1.92401  0.00765014
          43     1.79468       1.921  0.00804181
          44     1.78319     1.91787  0.00844702
          45     1.77119     1.91461  0.00886591
          46     1.75869     1.91122  0.00929856
          47     1.74568      1.9077  0.00974499
          48     1.73216     1.90404   0.0102052
          49     1.71812     1.90025    0.010679
          50     1.70358     1.89632   0.0111663
          51     1.68855     1.89224   0.0116668
          52     1.67304     1.88803   0.0121802
          53     1.65706     1.88367   0.0127061
          54     1.64063     1.87917   0.0132439
          55     1.62378     1.87452   0.0137931
          56     1.60653     1.86974    0.014353
          57     1.58891     1.86481   0.0149229
          58     1.57095     1.85975   0.0155019
          59     1.55269     1.85454   0.0160891
          60     1.53417      1.8492   0.0166834
          61     1.51542     1.84373    0.017284
          62     1.49649     1.83813   0.0178896
          63     1.47743      1.8324   0.0184992
          64     1.45826     1.82656   0.0191115
          65     1.43905      1.8206   0.0197254
          66     1.41983     1.81452   0.0203397
          67     1.40065     1.80835   0.0209531
          68     1.38155     1.80207   0.0215646
          69     1.36257      1.7957   0.0221728
          70     1.34375     1.78924   0.0227767
          71     1.32513     1.78271   0.0233751
          72     1.30675      1.7761   0.0239669
          73     1.28865     1.76942   0.0245512
          74     1.27086     1.76268   0.0251268
          75     1.25342     1.75589   0.0256929
          76     1.23636     1.74906   0.0262484
          77     1.21972     1.74218   0.0267927
          78     1.20352     1.73528   0.0273247
          79     1.18781     1.72835   0.0278437
