#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.83199    -3.83199           0
           2    -3.83177    -3.83188 7.52334e-05
           3    -3.83156    -3.83177  0.00010023
           4    -3.83135    -3.83167 0.000118893
           5    -3.83113    -3.83156 0.000134702
           6    -3.83092    -3.83145 0.000148868
           7     -3.8307    -3.83135 0.000161987
           8    -3.83048    -3.83124 0.000174407
           9    -3.83025    -3.83113 0.000186363
          10    -3.83002    -3.83102 0.000198018
          11    -3.82978     -3.8309 0.000209499
          12    -3.82954    -3.83079 0.000220905
          13    -3.82898    -3.83065 0.000243715
          14    -3.82873    -3.83051 0.000262239
          15    -3.82831    -3.83037 0.000283061
          16    -3.82758    -3.83019 0.000314465
          17    -3.82684    -3.82999 0.000352429
          18    -3.82624    -3.82979 0.000389701
          19    -3.82563    -3.82957 0.000426256
          20    -3.82485    -3.82933 0.000465645
          21    -3.82436    -3.82909 0.000500013
          22    -3.82341    -3.82884 0.000540018
          23    -3.82259    -3.82856 0.000580889
          24    -3.82145    -3.82827 0.000627768
          25    -3.82045    -3.82796 0.000676102
          26    -3.81928    -3.82762 0.000727844
          27    -3.81824    -3.82727 0.000779451
          28    -3.81688     -3.8269 0.000835381
          29     -3.8158    -3.82652 0.000889948
          30    -3.81456    -3.82612 0.000945406
          31    -3.81314     -3.8257  0.00100339
          32    -3.81155    -3.82526  0.00106507
          33    -3.81039    -3.82481  0.00112412
          34    -3.80935    -3.82436  0.00117939
          35     -3.8083     -3.8239  0.00123166
          36    -3.80753    -3.82344  0.00127861
          37    -3.80614    -3.82297  0.00132685
          38    -3.80487     -3.8225  0.00137478
          39    -3.80359    -3.82201  0.00142244
          40    -3.80169     -3.8215  0.00147486
          41    -3.80021    -3.82099  0.00152757
          42    -3.79888    -3.82046  0.00157928
          43    -3.79768    -3.81993  0.00162895
          44    -3.79648     -3.8194  0.00167686
          45    -3.79541    -3.81886  0.00172221
          46     -3.7945    -3.81833  0.00176437
          47    -3.79403    -3.81782  0.00180102
          48    -3.79342    -3.81731  0.00183382
          49    -3.79267    -3.81681  0.00186408
          50    -3.79177     -3.8163  0.00189283
          51    -3.79105    -3.81581   0.0019194
          52    -3.79005    -3.81531  0.00194539
          53    -3.78907    -3.81482   0.0019707
          54    -3.78858    -3.81433   0.0019932
          55    -3.78753    -3.81385  0.00201567
          56    -3.78758    -3.81338  0.00203353
          57    -3.78752    -3.81292  0.00204782
          58    -3.78677    -3.81247  0.00206157
          59    -3.78607    -3.81202  0.00207464
          60    -3.78633     -3.8116  0.00208378
          61    -3.78606    -3.81118  0.00209126
          62    -3.78569    -3.81077  0.00209753
          63     -3.7854    -3.81036  0.00210254
          64    -3.78607    -3.80998  0.00210366
          65    -3.78606    -3.80962  0.00210325
          66    -3.78657    -3.80927  0.00210018
          67    -3.78638    -3.80893  0.00209643
          68    -3.78656     -3.8086  0.00209124
          69     -3.7871    -3.80828  0.00208401
          70     -3.7877    -3.80799  0.00207488
          71    -3.78776    -3.80771  0.00206514
          72    -3.78862    -3.80744   0.0020534
          73    -3.78939    -3.80719   0.0020401
